Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.532155,6.556185,6.532155,6.532155,1.536657,55900
1962-01-03,6.532155,6.632280,6.524145,6.632280,1.560211,74500
1962-01-04,6.632280,6.664320,6.632280,6.632280,1.560211,80500
1962-01-05,6.632280,6.656310,6.616260,6.624270,1.558327,70500
1962-01-08,6.608250,6.608250,6.339915,6.408000,1.507449,93800
1962-01-09,6.408000,6.508125,6.355935,6.355935,1.495202,64500
1962-01-10,6.355935,6.408000,6.339915,6.363945,1.497085,34500
1962-01-11,6.347925,6.347925,6.323895,6.339915,1.491434,27900
1962-01-12,6.339915,6.347925,6.207750,6.207750,1.460344,26500
1962-01-15,6.139665,6.139665,6.055560,6.055560,1.424540,64500
1962-01-16,6.039540,6.039540,6.007500,6.007500,1.413234,27900
1962-01-17,6.007500,6.023520,6.007500,6.007500,1.413234,79900
1962-01-18,6.007500,6.007500,6.007500,6.007500,1.413234,89800
1962-01-19,6.007500,6.047550,6.007500,6.023520,1.417004,100400
1962-01-22,6.039540,6.131655,6.039540,6.039540,1.420772,69900
1962-01-23,6.039540,6.115635,6.015510,6.015510,1.415119,34500
1962-01-24,6.015510,6.015510,5.839290,5.955435,1.400987,45900
1962-01-25,5.955435,5.963445,5.915385,5.915385,1.391565,37900
1962-01-26,5.915385,5.931405,5.915385,5.931405,1.395333,37900
1962-01-29,5.931405,5.955435,5.915385,5.923395,1.393449,42500
1962-01-30,5.931405,5.963445,5.931405,5.963445,1.402871,30500
1962-01-31,5.963445,6.007500,5.947425,5.955435,1.400987,55900
1962-02-01,5.947425,5.947425,5.855310,5.931405,1.395333,67900
1962-02-02,5.931405,5.955435,5.907375,5.915385,1.391565,30500
1962-02-05,5.939415,5.963445,5.939415,5.939415,1.397219,72500
1962-02-06,5.915385,5.915385,5.823270,5.855310,1.384435,40500
1962-02-07,5.863320,5.939415,5.863320,5.915385,1.398639,45900
1962-02-08,5.915385,5.931405,5.839290,5.863320,1.386329,51900
1962-02-09,5.863320,5.923395,5.823270,5.823270,1.376860,33900
1962-02-12,5.823270,5.831280,5.815260,5.815260,1.374965,16600
1962-02-13,5.855310,5.915385,5.855310,5.863320,1.386329,62500
1962-02-14,5.839290,5.839290,5.747175,5.807250,1.373072,56500
1962-02-15,5.807250,5.907375,5.739165,5.739165,1.356975,62500
1962-02-16,5.739165,5.831280,5.739165,5.831280,1.378753,55900
1962-02-19,5.839290,5.907375,5.839290,5.863320,1.386329,29900
1962-02-20,5.863320,5.963445,5.847300,5.963445,1.410002,40500
1962-02-21,6.007500,6.131655,6.007500,6.031530,1.426101,56500
1962-02-23,6.031530,6.063570,6.023520,6.055560,1.431783,72500
1962-02-26,6.055560,6.107625,5.955435,6.107625,1.444093,82500
1962-02-27,6.107625,6.123645,6.107625,6.107625,1.444093,27900
1962-02-28,6.107625,6.223770,6.039540,6.039540,1.427995,47900
1962-03-01,6.039540,6.307875,6.023520,6.255810,1.479130,74500
1962-03-02,6.255810,6.355935,6.255810,6.331905,1.497121,41900
1962-03-05,6.331905,6.432030,6.331905,6.424020,1.518902,56500
1962-03-06,6.432030,6.508125,6.432030,6.464070,1.528371,75900
1962-03-07,6.464070,6.524145,6.448050,6.448050,1.524583,45900
1962-03-08,6.448050,6.464070,6.424020,6.448050,1.524583,41900
1962-03-09,6.448050,6.508125,6.448050,6.464070,1.528371,72500
1962-03-12,6.524145,6.648300,6.524145,6.632280,1.568143,54500
1962-03-13,6.632280,6.648300,6.564195,6.640290,1.570036,36500
1962-03-14,6.640290,6.656310,6.640290,6.648300,1.571930,55900
1962-03-15,6.648300,6.724395,6.648300,6.648300,1.571930,41900
1962-03-16,6.664320,6.724395,6.664320,6.708375,1.586135,50500
1962-03-19,6.656310,6.656310,6.448050,6.508125,1.538787,75900
1962-03-20,6.508125,6.540165,6.508125,6.524145,1.542575,25900
1962-03-21,6.524145,6.640290,6.524145,6.624270,1.566248,42500
1962-03-22,6.640290,6.764445,6.640290,6.764445,1.599391,57900
1962-03-23,6.764445,6.840540,6.732405,6.740415,1.593710,65900
1962-03-26,6.740415,6.756435,6.740415,6.740415,1.593710,32500
1962-03-27,6.740415,6.740415,6.624270,6.624270,1.566248,43900
1962-03-28,6.624270,6.640290,6.564195,6.608250,1.562461,36500
1962-03-29,6.548175,6.548175,6.456060,6.456060,1.526478,32500
1962-03-30,6.448050,6.448050,6.315885,6.363945,1.504697,63900
1962-04-02,6.363945,6.408000,6.339915,6.347925,1.500909,38500
1962-04-03,6.347925,6.524145,6.339915,6.524145,1.542575,22500
1962-04-04,6.532155,6.564195,6.532155,6.532155,1.544469,14600
1962-04-05,6.532155,6.532155,6.408000,6.456060,1.526478,85800
1962-04-06,6.464070,6.548175,6.464070,6.464070,1.528371,43900
1962-04-09,6.440040,6.440040,6.408000,6.440040,1.522689,35900
1962-04-10,6.440040,6.456060,6.355935,6.408000,1.515114,8600
1962-04-11,6.408000,6.440040,6.315885,6.315885,1.493334,38500
1962-04-12,6.315885,6.339915,6.307875,6.331905,1.497121,52500
1962-04-13,6.331905,6.355935,6.307875,6.331905,1.497121,63900
1962-04-16,6.331905,6.347925,6.307875,6.347925,1.500909,37900
1962-04-17,6.347925,6.416010,6.339915,6.416010,1.517008,45900
1962-04-18,6.416010,6.448050,6.339915,6.355935,1.502803,41900
1962-04-19,6.355935,6.448050,6.339915,6.347925,1.500909,55900
1962-04-23,6.355935,6.440040,6.355935,6.424020,1.518902,78500
1962-04-24,6.440040,6.508125,6.440040,6.440040,1.522689,46500
1962-04-25,6.440040,6.440040,6.239790,6.239790,1.475342,51900
1962-04-26,6.239790,6.239790,6.147675,6.147675,1.453561,65900
1962-04-27,6.147675,6.255810,6.147675,6.155685,1.455456,43900
1962-04-30,6.155685,6.163695,6.123645,6.131655,1.449774,49900
1962-05-01,6.131655,6.131655,6.063570,6.131655,1.449774,57900
1962-05-02,6.131655,6.139665,5.955435,6.007500,1.420419,42500
1962-05-03,6.031530,6.107625,6.031530,6.107625,1.444093,23900
1962-05-04,6.063570,6.063570,5.939415,5.955435,1.408108,29900
1962-05-07,5.939415,5.939415,5.755185,5.815260,1.374965,66500
1962-05-08,5.815260,5.823270,5.731155,5.731155,1.355080,69900
1962-05-09,5.707125,5.707125,5.623020,5.663070,1.338982,65900
1962-05-10,5.663070,5.739165,5.607000,5.623020,1.329512,82500
1962-05-11,5.623020,5.655060,5.562945,5.607000,1.325724,41900
1962-05-14,5.607000,5.639040,5.454810,5.639040,1.333300,61900
1962-05-15,5.639040,5.723145,5.639040,5.655060,1.344248,82500
1962-05-16,5.655060,5.655060,5.454810,5.522895,1.312832,83800
1962-05-17,5.522895,5.530905,5.430780,5.438790,1.292840,62500
1962-05-18,5.438790,5.446800,5.422770,5.422770,1.289032,35900
1962-05-21,5.422770,5.454810,5.422770,5.422770,1.289032,13900
1962-05-22,5.422770,5.446800,5.422770,5.438790,1.292840,26500
1962-05-23,5.430780,5.430780,5.406750,5.414760,1.287129,37900
1962-05-24,5.414760,5.446800,5.306625,5.306625,1.261424,45900
1962-05-25,5.306625,5.314635,5.222520,5.238540,1.245239,47900
1962-05-28,5.238540,5.406750,5.206500,5.206500,1.237622,84500
1962-05-29,5.206500,5.438790,4.914135,5.438790,1.292840,120400
1962-05-31,5.438790,5.506875,5.306625,5.462820,1.298552,53900
1962-06-01,5.462820,5.462820,5.438790,5.462820,1.298552,76500
1962-06-04,5.462820,5.538915,5.446800,5.454810,1.296648,79900
1962-06-05,5.454810,5.607000,5.446800,5.514885,1.310929,58500
1962-06-06,5.538915,5.607000,5.538915,5.562945,1.322353,35900
1962-06-07,5.546925,5.546925,5.446800,5.454810,1.296648,23900
1962-06-08,5.454810,5.546925,5.446800,5.538915,1.316641,40500
1962-06-11,5.538915,5.554935,5.462820,5.462820,1.298552,58500
1962-06-12,5.454810,5.454810,5.322645,5.322645,1.265231,55900
1962-06-13,5.322645,5.338665,5.222520,5.222520,1.241430,49900
1962-06-14,5.222520,5.254560,5.054310,5.054310,1.201446,45900
1962-06-15,5.054310,5.238540,5.022270,5.206500,1.237622,96500
1962-06-18,5.206500,5.254560,5.122395,5.254560,1.249047,67900
1962-06-19,5.246550,5.246550,5.146425,5.206500,1.237622,55900
1962-06-20,5.206500,5.222520,5.106375,5.106375,1.213822,53900
1962-06-21,5.038290,5.038290,4.938165,4.946175,1.175741,66500
1962-06-22,4.906125,4.906125,4.721895,4.729905,1.124332,42500
1962-06-25,4.729905,4.729905,4.505625,4.553685,1.082444,96500
1962-06-26,4.653810,4.838040,4.653810,4.737915,1.126237,115800
1962-06-27,4.705875,4.705875,4.645800,4.705875,1.118620,33900
1962-06-28,4.737915,5.006250,4.737915,5.006250,1.190022,130400
1962-06-29,5.038290,5.222520,5.038290,5.206500,1.237622,85800
1962-07-02,5.238540,5.538915,5.238540,5.422770,1.289032,84500
1962-07-03,5.422770,5.607000,5.422770,5.554935,1.320448,92500
1962-07-05,5.554935,5.807250,5.546925,5.807250,1.380426,61900
1962-07-06,5.739165,5.739165,5.639040,5.647050,1.342345,64500
1962-07-09,5.647050,5.707125,5.538915,5.707125,1.356624,86500
1962-07-10,5.707125,5.907375,5.607000,5.615010,1.334729,60500
1962-07-11,5.615010,5.723145,5.538915,5.707125,1.356624,34500
1962-07-12,5.707125,5.739165,5.639040,5.663070,1.346153,70500
1962-07-13,5.663070,5.707125,5.639040,5.655060,1.344248,35900
1962-07-16,5.631030,5.631030,5.546925,5.562945,1.322353,25900
1962-07-17,5.562945,5.562945,5.406750,5.406750,1.285223,24500
1962-07-18,5.406750,5.538915,5.306625,5.514885,1.310929,38500
1962-07-19,5.514885,5.607000,5.438790,5.438790,1.292840,56500
1962-07-20,5.438790,5.607000,5.424772,5.462820,1.298552,25900
1962-07-23,5.462820,5.462820,5.422770,5.422770,1.289032,28500
