Date,Open,High,Low,Close,Adj Close,Volume
2001-12-11,4.600000,4.650000,4.487500,4.567500,3.760683,15192400
2001-12-12,4.487500,4.497500,4.425000,4.457500,3.670114,3605600
2001-12-13,4.400000,4.437500,4.355000,4.362500,3.591895,1921600
2001-12-14,4.287500,4.287500,4.250000,4.275000,3.519851,1186000
2001-12-17,4.387500,4.450000,4.362500,4.450000,3.663939,660400
2001-12-18,4.425000,4.495000,4.425000,4.490000,3.696873,344800
2001-12-19,4.362500,4.450000,4.315000,4.407500,3.628946,1068400
2001-12-20,4.375000,4.375000,4.312500,4.325000,3.561018,157200
2001-12-21,4.350000,4.362500,4.300000,4.345000,3.577486,258800
2001-12-24,4.175000,4.312500,4.167500,4.262500,3.509559,183200
2001-12-26,4.250000,4.275000,4.250000,4.275000,3.519851,149200
2001-12-27,4.275000,4.337500,4.275000,4.287500,3.530143,712400
2001-12-28,4.300000,4.325000,4.300000,4.300000,3.540435,428800
2001-12-31,4.300000,4.372500,4.300000,4.370000,3.598069,549600
2002-01-02,4.375000,4.400000,4.362500,4.395000,3.618654,828800
2002-01-03,4.432500,4.487500,4.405000,4.457500,3.670114,914400
2002-01-04,4.600000,4.687500,4.562500,4.687500,3.859486,1876800
2002-01-07,5.025000,5.025000,4.837500,4.987500,4.106493,1079600
2002-01-08,4.950000,4.962500,4.887500,4.937500,4.065325,226000
2002-01-09,4.912500,4.920000,4.850000,4.850000,3.993281,83200
2002-01-10,4.875000,4.875000,4.800000,4.837500,3.982989,163600
2002-01-11,4.825000,4.837500,4.795000,4.795000,3.947997,92000
2002-01-14,4.762500,4.762500,4.700000,4.712500,3.880070,666000
2002-01-15,4.662500,4.662500,4.582500,4.612500,3.797734,229600
2002-01-16,4.650000,4.737500,4.650000,4.650000,3.828610,132000
2002-01-17,4.712500,4.750000,4.705000,4.737500,3.900653,554000
2002-01-18,4.712500,4.712500,4.600000,4.675000,3.849194,64000
2002-01-22,4.750000,4.750000,4.705000,4.727500,3.892420,106000
2002-01-23,4.800000,4.812500,4.737500,4.812500,3.962405,310000
2002-01-24,4.950000,4.975000,4.932500,4.937500,4.065325,300800
2002-01-25,5.262500,5.325000,5.225000,5.287500,4.353500,1273600
2002-01-28,5.375000,5.447500,5.375000,5.400000,4.446127,735200
2002-01-29,5.312500,5.312500,5.225000,5.225000,4.302040,140000
2002-01-30,5.287500,5.312500,5.262500,5.287500,4.353500,401200
2002-01-31,5.262500,5.262500,5.250000,5.250000,4.322624,116000
2002-02-01,5.000000,5.012500,4.975000,4.975000,4.096201,308000
2002-02-04,5.250000,5.250000,5.187500,5.187500,4.271164,236400
2002-02-05,5.212500,5.237500,5.200000,5.220000,4.297924,392800
2002-02-06,5.200000,5.200000,5.175000,5.175000,4.260872,20800
2002-02-07,5.175000,5.175000,5.087500,5.112500,4.209412,158400
2002-02-08,5.100000,5.100000,5.087500,5.087500,4.188829,17600
2002-02-11,5.100000,5.125000,5.087500,5.125000,4.219704,98000
2002-02-12,5.100000,5.120000,5.100000,5.112500,4.209412,39200
2002-02-13,5.125000,5.125000,5.087500,5.120000,4.215587,79600
2002-02-14,5.125000,5.150000,5.125000,5.150000,4.240288,29600
2002-02-15,5.312500,5.387500,5.312500,5.365000,4.417310,103600
2002-02-19,5.425000,5.562500,5.425000,5.512500,4.538754,908000
2002-02-20,5.520000,5.525000,5.487500,5.512500,4.538754,997600
2002-02-21,5.525000,5.525000,5.500000,5.502500,4.530521,761600
2002-02-22,5.495000,5.520000,5.430000,5.520000,4.544930,29600
2002-02-25,5.462500,5.462500,5.425000,5.462500,4.497587,140800
2002-02-26,5.375000,5.432500,5.375000,5.412500,4.456419,64400
2002-02-27,5.687500,5.687500,5.637500,5.637500,4.641674,110000
2002-02-28,5.800000,5.807500,5.775000,5.775000,4.754887,211200
2002-03-01,5.775000,5.775000,5.700000,5.700000,4.693134,143200
2002-03-04,5.837500,6.000000,5.837500,5.995000,4.936025,202800
2002-03-05,6.175000,6.175000,6.050000,6.062500,4.991601,109200
2002-03-06,5.962500,6.025000,5.962500,6.025000,4.960725,382400
2002-03-07,5.875000,5.887500,5.837500,5.850000,4.816638,41600
2002-03-08,5.975000,5.987500,5.905000,5.912500,4.868098,266000
2002-03-11,6.050000,6.050000,6.000000,6.002500,4.942201,61600
2002-03-12,5.937500,5.937500,5.837500,5.875000,4.837223,24000
2002-03-13,5.737500,5.772500,5.727500,5.772500,4.752828,10800
2002-03-14,5.575000,5.575000,5.500000,5.512500,4.538754,55200
2002-03-15,5.537500,5.537500,5.515000,5.515000,4.540813,12400
2002-03-18,5.437500,5.450000,5.290000,5.360000,4.413193,243200
2002-03-19,5.387500,5.412500,5.367500,5.367500,4.419368,93600
2002-03-20,5.375000,5.375000,5.325000,5.325000,4.384376,25600
2002-03-21,5.310000,5.337500,5.300000,5.337500,4.394668,34000
2002-03-22,5.337500,5.337500,5.320000,5.320000,4.380259,17200
2002-03-25,5.450000,5.452500,5.450000,5.450000,4.487296,16000
2002-03-26,5.350000,5.395000,5.345000,5.375000,4.425543,11200
2002-03-27,5.525000,5.525000,5.492500,5.522500,4.546989,98400
2002-03-28,5.550000,5.550000,5.527500,5.537500,4.559339,72400
2002-04-01,5.537500,5.537500,5.512500,5.537500,4.559339,53200
2002-04-02,5.475000,5.475000,5.437500,5.437500,4.477003,70000
2002-04-03,5.462500,5.462500,5.437500,5.437500,4.477003,69600
2002-04-04,5.437500,5.437500,5.437500,5.437500,4.477003,2800
2002-04-05,5.455000,5.512500,5.455000,5.512500,4.538754,40400
2002-04-08,5.700000,5.700000,5.650000,5.650000,4.651967,79600
2002-04-09,5.612500,5.612500,5.600000,5.600000,4.610799,16400
2002-04-10,5.500000,5.545000,5.500000,5.545000,4.565515,43200
2002-04-11,5.400000,5.500000,5.375000,5.450000,4.487296,78800
2002-04-12,5.450000,5.450000,5.450000,5.450000,4.487296,1200
2002-04-15,5.462500,5.600000,5.462500,5.550000,4.569631,56800
2002-04-16,5.387500,5.425000,5.387500,5.425000,4.466711,78800
2002-04-17,5.375000,5.375000,5.312500,5.312500,4.374084,24800
2002-04-18,5.275000,5.275000,5.255000,5.255000,4.326741,25200
2002-04-19,4.987500,4.987500,4.825000,4.927500,4.057091,329600
2002-04-22,5.075000,5.100000,5.075000,5.100000,4.199121,35200
2002-04-23,5.000000,5.025000,4.987500,5.000000,4.116785,54800
2002-04-24,4.700000,4.700000,4.662500,4.677500,3.851252,292400
2002-04-25,4.675000,4.675000,4.525000,4.530000,3.729807,196000
2002-04-26,4.675000,4.675000,4.670000,4.670000,3.845078,48000
2002-04-29,4.637500,4.637500,4.617500,4.617500,3.801850,6800
2002-04-30,4.545000,4.562500,4.545000,4.550000,3.746274,8400
2002-05-01,4.562500,4.575000,4.560000,4.575000,3.766858,15600
2002-05-02,4.590000,4.600000,4.590000,4.600000,3.787442,6800
2002-05-03,4.600000,4.617500,4.600000,4.612500,3.797734,8000
2002-05-06,4.750000,4.750000,4.707500,4.707500,3.875953,37600
2002-05-07,4.887500,4.887500,4.850000,4.850000,4.037233,200000
2002-05-08,4.837500,4.970000,4.812500,4.970000,4.137124,28400
2002-05-09,4.875000,4.875000,4.837500,4.862500,4.047640,17200
2002-05-10,4.850000,4.875000,4.850000,4.875000,4.058044,6400
2002-05-13,4.937500,4.950000,4.937500,4.950000,4.120476,29600
2002-05-14,5.025000,5.087500,5.025000,5.087500,4.234934,94000
