Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,2.885417,2.979167,2.885417,2.906250,0.822512,1448000
1977-01-04,2.885417,2.885417,2.770833,2.770833,0.784187,1404000
1977-01-05,2.760417,2.760417,2.687500,2.708333,0.766498,2777600
1977-01-06,2.708333,2.729167,2.666667,2.718750,0.769447,2259200
1977-01-07,2.718750,2.802083,2.708333,2.802083,0.793031,1608000
1977-01-10,2.802083,2.822917,2.770833,2.791667,0.790083,1111200
1977-01-11,2.791667,2.802083,2.718750,2.739583,0.775343,696800
1977-01-12,2.739583,2.750000,2.697917,2.708333,0.766498,1003200
1977-01-13,2.718750,2.760417,2.718750,2.739583,0.775343,687200
1977-01-14,2.739583,2.750000,2.729167,2.739583,0.775343,552000
1977-01-17,2.739583,2.750000,2.718750,2.750000,0.778291,291200
1977-01-18,2.750000,2.760417,2.687500,2.708333,0.766498,627200
1977-01-19,2.708333,2.718750,2.583333,2.583333,0.731122,1070400
1977-01-20,2.708333,2.718750,2.583333,2.583333,0.731122,1128000
1977-01-21,2.583333,2.697917,2.583333,2.666667,0.754706,1292000
1977-01-24,2.666667,2.697917,2.656250,2.666667,0.754706,1138400
1977-01-25,2.666667,2.666667,2.614583,2.635417,0.745862,816800
1977-01-26,2.635417,2.635417,2.531250,2.614583,0.739966,1958400
1977-01-27,2.614583,2.687500,2.562500,2.572917,0.728173,904800
1977-01-28,2.572917,2.604167,2.562500,2.583333,0.731122,353600
1977-01-31,2.583333,2.604167,2.531250,2.593750,0.734070,1073600
1977-02-01,2.593750,2.604167,2.572917,2.604167,0.737018,855200
1977-02-02,2.604167,2.614583,2.541667,2.552083,0.722277,574400
1977-02-03,2.552083,2.552083,2.510417,2.531250,0.716381,624800
1977-02-04,2.531250,2.583333,2.531250,2.562500,0.725225,691200
1977-02-07,2.562500,2.593750,2.541667,2.572917,0.728173,392000
1977-02-08,2.562500,2.562500,2.541667,2.541667,0.719329,999200
1977-02-09,2.531250,2.531250,2.500000,2.500000,0.707537,396800
1977-02-10,2.510417,2.572917,2.510417,2.541667,0.719329,624000
1977-02-11,2.541667,2.572917,2.510417,2.572917,0.728173,593600
1977-02-14,2.572917,2.572917,2.541667,2.572917,0.728173,680000
1977-02-15,2.572917,2.583333,2.541667,2.562500,0.725225,1176000
1977-02-16,2.562500,2.593750,2.552083,2.572917,0.728173,488000
1977-02-17,2.572917,2.593750,2.562500,2.583333,0.731122,907200
1977-02-18,2.583333,2.583333,2.552083,2.552083,0.722277,404000
1977-02-22,2.552083,2.572917,2.552083,2.572917,0.728173,303200
1977-02-23,2.572917,2.572917,2.510417,2.520833,0.713433,665600
1977-02-24,2.520833,2.552083,2.447917,2.468750,0.698693,1452000
1977-02-25,2.468750,2.489583,2.447917,2.458333,0.695745,922400
1977-02-28,2.458333,2.468750,2.437500,2.458333,0.695745,489600
1977-03-01,2.458333,2.468750,2.447917,2.458333,0.695745,783200
1977-03-02,2.468750,2.510417,2.468750,2.500000,0.707537,879200
1977-03-03,2.500000,2.520833,2.479167,2.520833,0.713433,446400
1977-03-04,2.520833,2.520833,2.489583,2.520833,0.720580,936000
1977-03-07,2.520833,2.531250,2.510417,2.531250,0.723557,600800
1977-03-08,2.531250,2.531250,2.489583,2.500000,0.714624,711200
1977-03-09,2.500000,2.510417,2.479167,2.510417,0.717602,557600
1977-03-10,2.510417,2.510417,2.479167,2.500000,0.714624,703200
1977-03-11,2.500000,2.510417,2.489583,2.510417,0.717602,446400
1977-03-14,2.510417,2.531250,2.510417,2.531250,0.723557,597600
1977-03-15,2.552083,2.583333,2.552083,2.583333,0.738445,1142400
1977-03-16,2.583333,2.604167,2.583333,2.593750,0.741422,216800
1977-03-17,2.593750,2.604167,2.583333,2.593750,0.741422,375200
1977-03-18,2.593750,2.614583,2.572917,2.583333,0.738445,1010400
1977-03-21,2.583333,2.593750,2.562500,2.562500,0.732490,463200
1977-03-22,2.562500,2.562500,2.531250,2.531250,0.723557,957600
1977-03-23,2.531250,2.541667,2.489583,2.500000,0.714624,280800
1977-03-24,2.500000,2.520833,2.479167,2.500000,0.714624,658400
1977-03-25,2.500000,2.520833,2.489583,2.510417,0.717602,328800
1977-03-28,2.510417,2.510417,2.479167,2.479167,0.708669,444800
1977-03-29,2.479167,2.500000,2.479167,2.500000,0.714624,276000
1977-03-30,2.500000,2.500000,2.427083,2.427083,0.693781,850400
1977-03-31,2.427083,2.468750,2.416667,2.447917,0.699736,363200
1977-04-01,2.447917,2.447917,2.416667,2.447917,0.699736,348000
1977-04-04,2.447917,2.468750,2.437500,2.437500,0.696758,324800
1977-04-05,2.437500,2.437500,2.406250,2.416667,0.690803,487200
1977-04-06,2.416667,2.447917,2.406250,2.406250,0.687826,316800
1977-04-07,2.406250,2.406250,2.364583,2.375000,0.678893,656000
1977-04-11,2.375000,2.437500,2.375000,2.437500,0.696758,749600
1977-04-12,2.447917,2.500000,2.447917,2.500000,0.714624,524000
1977-04-13,2.500000,2.541667,2.489583,2.510417,0.717602,816000
1977-04-14,2.562500,2.604167,2.562500,2.572917,0.735467,1264800
1977-04-15,2.572917,2.583333,2.541667,2.583333,0.738445,674400
1977-04-18,2.583333,2.625000,2.583333,2.604167,0.744400,507200
1977-04-19,2.625000,2.697917,2.625000,2.645833,0.756311,656000
1977-04-20,2.697917,2.739583,2.697917,2.739583,0.783109,943200
1977-04-21,2.739583,2.750000,2.677083,2.677083,0.765243,566400
1977-04-22,2.677083,2.677083,2.583333,2.604167,0.744400,552800
1977-04-25,2.614583,2.614583,2.562500,2.562500,0.732490,1958400
1977-04-26,2.562500,2.572917,2.541667,2.562500,0.732490,688800
1977-04-27,2.562500,2.625000,2.552083,2.604167,0.744400,379200
1977-04-28,2.614583,2.677083,2.614583,2.656250,0.759288,542400
1977-04-29,2.697917,2.739583,2.697917,2.718750,0.777154,648800
1977-05-02,2.718750,2.781250,2.718750,2.760417,0.789064,681600
1977-05-03,2.770833,2.833333,2.770833,2.812500,0.803952,1414400
1977-05-04,2.812500,2.843750,2.802083,2.833333,0.809908,1322400
1977-05-05,2.833333,2.833333,2.781250,2.802083,0.800975,471200
1977-05-06,2.802083,2.822917,2.781250,2.791667,0.797997,1003200
1977-05-09,2.791667,2.812500,2.760417,2.791667,0.797997,497600
1977-05-10,2.791667,2.843750,2.781250,2.812500,0.803952,2292800
1977-05-11,2.812500,2.833333,2.812500,2.812500,0.803952,1003200
1977-05-12,2.812500,2.822917,2.781250,2.822917,0.806930,933600
1977-05-13,2.822917,2.833333,2.791667,2.822917,0.806930,824000
1977-05-16,2.822917,2.843750,2.812500,2.843750,0.812885,586400
1977-05-17,2.843750,2.885417,2.833333,2.885417,0.824795,1862400
1977-05-18,2.895833,2.927083,2.895833,2.895833,0.827773,1980000
1977-05-19,2.895833,2.916667,2.895833,2.906250,0.830750,1083200
1977-05-20,2.895833,2.895833,2.854167,2.854167,0.815863,619200
1977-05-23,2.854167,2.864583,2.802083,2.802083,0.800975,880800
1977-05-24,2.802083,2.802083,2.750000,2.760417,0.789064,936000
1977-05-25,2.760417,2.770833,2.677083,2.697917,0.771199,1636800
1977-05-26,2.750000,2.750000,2.697917,2.739583,0.783109,461600
1977-05-27,2.739583,2.833333,2.739583,2.822917,0.806930,1159200
1977-05-31,2.822917,2.843750,2.822917,2.833333,0.809908,555200
1977-06-01,2.833333,2.895833,2.833333,2.895833,0.827773,597600
1977-06-02,2.895833,2.927083,2.875000,2.895833,0.827773,1469600
1977-06-03,2.895833,2.927083,2.833333,2.906250,0.840424,2955200
1977-06-06,2.906250,2.916667,2.875000,2.895833,0.837411,401600
1977-06-07,2.895833,2.895833,2.864583,2.885417,0.834399,624800
1977-06-08,2.885417,2.916667,2.885417,2.906250,0.840424,2122400
1977-06-09,2.906250,2.916667,2.885417,2.895833,0.837411,828000
1977-06-10,2.895833,2.937500,2.895833,2.937500,0.849461,1606400
1977-06-13,2.937500,2.947917,2.927083,2.937500,0.849461,703200
1977-06-14,2.958333,3.000000,2.958333,3.000000,0.867534,2019200
1977-06-15,3.000000,3.020833,2.968750,2.979167,0.861510,859200
1977-06-16,2.979167,3.041667,2.968750,3.020833,0.873559,2630400
1977-06-17,3.020833,3.062500,3.010417,3.041667,0.879584,1502400
1977-06-20,3.041667,3.093750,3.041667,3.093750,0.894644,1466400
1977-06-21,3.093750,3.114583,3.072917,3.083333,0.891632,1142400
1977-06-22,3.083333,3.083333,3.052083,3.052083,0.882595,641600
1977-06-23,3.052083,3.093750,3.031250,3.083333,0.891632,1056000
1977-06-24,3.093750,3.125000,3.093750,3.125000,0.903681,868800
1977-06-27,3.125000,3.125000,3.104167,3.114583,0.900669,560000
1977-06-28,3.114583,3.125000,3.093750,3.104167,0.897657,681600
1977-06-29,3.104167,3.114583,3.083333,3.114583,0.900669,648800
1977-06-30,3.114583,3.125000,3.104167,3.104167,0.897657,787200
1977-07-01,3.104167,3.114583,3.083333,3.093750,0.894644,538400
1977-07-05,3.093750,3.114583,3.093750,3.093750,0.894644,538400
1977-07-06,3.093750,3.104167,3.072917,3.072917,0.888620,543200
1977-07-07,3.072917,3.072917,3.020833,3.072917,0.888620,1027200
1977-07-08,3.072917,3.083333,3.052083,3.062500,0.885608,1344000
1977-07-11,3.062500,3.083333,3.041667,3.062500,0.885608,295200
1977-07-12,3.062500,3.072917,3.020833,3.020833,0.873559,873600
1977-07-13,3.020833,3.041667,3.000000,3.041667,0.879584,737600
1977-07-15,3.041667,3.052083,3.010417,3.020833,0.873559,812000
1977-07-18,3.020833,3.104167,3.020833,3.093750,0.894644,891200
1977-07-19,3.093750,3.114583,3.062500,3.093750,0.894644,1299200
1977-07-20,3.104167,3.187500,3.104167,3.177083,0.918742,2287200
1977-07-21,3.177083,3.187500,3.145833,3.156250,0.912718,1757600
1977-07-22,3.156250,3.197917,3.145833,3.197917,0.924767,1167200
1977-07-25,3.197917,3.197917,3.145833,3.166667,0.915730,593600
1977-07-26,3.166667,3.166667,3.125000,3.156250,0.912718,907200
1977-07-27,3.156250,3.156250,3.052083,3.093750,0.894644,844800
1977-07-28,3.093750,3.093750,3.052083,3.093750,0.894644,1486400
1977-07-29,3.093750,3.187500,3.072917,3.187500,0.921755,1251200
1977-08-01,3.187500,3.197917,3.145833,3.166667,0.915730,1130400
1977-08-02,3.114583,3.114583,3.083333,3.083333,0.891632,960000
1977-08-03,3.083333,3.104167,3.041667,3.093750,0.894644,1481600
1977-08-04,3.093750,3.125000,3.083333,3.125000,0.903681,1142400
1977-08-05,3.125000,3.135417,3.114583,3.125000,0.903681,1328000
1977-08-08,3.125000,3.125000,3.093750,3.104167,0.897657,459200
1977-08-09,3.104167,3.104167,3.062500,3.072917,0.888620,1243200
1977-08-10,3.072917,3.145833,3.062500,3.135417,0.906693,777600
1977-08-11,3.135417,3.166667,3.104167,3.114583,0.900669,525600
1977-08-12,3.114583,3.125000,3.083333,3.114583,0.900669,1471200
1977-08-15,3.104167,3.104167,3.041667,3.072917,0.888620,880800
1977-08-16,3.072917,3.083333,3.062500,3.072917,0.888620,758400
1977-08-17,3.072917,3.083333,3.041667,3.072917,0.888620,358400
1977-08-18,3.072917,3.083333,3.031250,3.062500,0.885608,401600
