Date,Open,High,Low,Close,Adj Close,Volume
2015-06-25,12.740000,13.490000,12.250000,13.000000,13.000000,2013600
2015-06-26,13.080000,13.470000,12.850000,13.470000,13.470000,112200
2015-06-29,14.000000,14.000000,11.660000,11.705000,11.705000,46500
2015-06-30,11.510000,12.210000,11.510000,12.210000,12.210000,33800
2015-07-01,11.960000,13.600000,11.790000,13.200000,13.200000,102300
2015-07-02,12.730000,14.340000,12.220000,12.400000,12.400000,107100
2015-07-06,13.490000,16.959999,12.610000,13.640000,13.640000,225400
2015-07-07,13.900000,14.720000,13.020000,13.420000,13.420000,51400
2015-07-08,13.240000,13.986000,12.510000,13.000000,13.000000,36000
2015-07-09,13.280000,13.384000,12.300000,12.550000,12.550000,35000
2015-07-10,12.670000,14.570000,12.670000,14.380000,14.380000,99000
2015-07-13,14.690000,14.950000,12.500000,12.950000,12.950000,47300
2015-07-14,12.770000,14.120000,12.770000,13.970000,13.970000,26700
2015-07-15,14.230000,14.230000,13.140000,13.370000,13.370000,29700
2015-07-16,13.200000,13.600000,13.020000,13.300000,13.300000,33200
2015-07-17,13.420000,14.200000,13.240000,14.050000,14.050000,49500
2015-07-20,14.300000,14.794000,13.210000,13.760000,13.760000,130500
2015-07-21,14.010000,14.320000,13.870000,14.000000,14.000000,237300
2015-07-22,14.000000,14.413000,13.900000,14.140000,14.140000,86400
2015-07-23,14.400000,14.640000,14.285000,14.500000,14.500000,93800
2015-07-24,14.600000,14.750000,13.900000,13.900000,13.900000,64600
2015-07-27,13.900000,13.920000,12.000000,12.000000,12.000000,173700
2015-07-28,12.000000,13.740000,12.000000,13.090000,13.090000,79300
2015-07-29,12.520000,13.590000,12.520000,13.500000,13.500000,30300
2015-07-30,13.340000,14.090000,13.000000,13.960000,13.960000,33100
2015-07-31,13.830000,14.100000,13.000000,13.000000,13.000000,65000
2015-08-03,13.000000,13.230000,12.260000,12.410000,12.410000,31600
2015-08-04,13.210000,13.400000,12.510000,13.050000,13.050000,57800
2015-08-05,13.230000,13.550000,12.650000,13.265000,13.265000,60400
2015-08-06,13.680000,13.680000,12.760000,12.870000,12.870000,38100
2015-08-07,13.000000,13.260000,12.450000,12.660000,12.660000,37000
2015-08-10,12.850000,13.000000,12.510000,12.835000,12.835000,53900
2015-08-11,13.000000,13.000000,12.200000,12.230000,12.230000,13900
2015-08-12,12.380000,12.387000,10.900000,11.420000,11.420000,44800
2015-08-13,11.450000,12.489000,11.450000,11.990000,11.990000,27700
2015-08-14,12.480000,12.510000,11.400000,11.990000,11.990000,29300
2015-08-17,11.500000,12.380000,11.000000,12.070000,12.070000,51400
2015-08-18,11.900000,12.360000,11.580000,11.890000,11.890000,59300
2015-08-19,11.790000,12.300000,11.740000,11.940000,11.940000,61400
2015-08-20,11.830000,12.355000,11.340000,11.870000,11.870000,33800
2015-08-21,11.870000,12.066000,11.080000,11.260000,11.260000,129400
2015-08-24,10.470000,11.170000,10.050000,11.170000,11.170000,37500
2015-08-25,11.280000,11.774000,10.960000,11.050000,11.050000,9500
2015-08-26,11.100000,11.746000,10.750000,11.130000,11.130000,28900
2015-08-27,11.160000,12.000000,11.100000,11.930000,11.930000,33100
2015-08-28,12.050000,12.600000,11.940000,12.288000,12.288000,23000
2015-08-31,12.097000,12.390000,11.020000,11.390000,11.390000,26600
