Date,Open,High,Low,Close,Adj Close,Volume
1996-11-18,3.870892,3.900441,3.841343,3.870892,1.143505,5800
1996-11-19,3.826569,3.870892,3.826569,3.826569,1.130411,533600
1996-11-20,3.665894,3.752697,3.662195,3.665894,1.082946,2806800
1996-11-21,3.573548,3.678825,3.558774,3.573548,1.055666,1941700
1996-11-22,3.634502,3.649276,3.590178,3.634502,1.073673,529400
1996-11-25,3.678825,3.693599,3.634502,3.678825,1.086766,250600
1996-11-26,3.665894,3.695443,3.634502,3.665894,1.082946,734600
1996-11-27,3.678825,3.678825,3.647420,3.678825,1.086766,334800
1996-11-29,3.776702,3.798864,3.765615,3.776702,1.115680,593600
1996-12-02,3.782246,3.811794,3.737922,3.782246,1.117318,225600
1996-12-03,3.752697,3.841343,3.688056,3.752697,1.108589,1692800
1996-12-04,3.752697,3.826569,3.752697,3.752697,1.108589,517000
1996-12-05,3.752697,3.957683,3.545855,3.957683,1.169144,2352500
1996-12-06,4.122057,4.136831,4.122057,4.122057,1.217702,351400
1996-12-09,4.033411,4.033411,3.929990,4.033411,1.191515,1814100
1996-12-10,3.989087,4.020480,3.961382,3.989087,1.178421,267100
1996-12-11,3.900441,3.944764,3.870892,3.900441,1.152234,142200
1996-12-12,3.841343,3.857961,3.752697,3.841343,1.134776,397100
1996-12-13,3.752697,3.767471,3.752697,3.752697,1.108589,336300
1996-12-16,3.754541,3.754541,3.723148,3.754541,1.109133,43100
1996-12-17,3.723148,3.724992,3.693599,3.723148,1.099859,705400
1996-12-18,3.811794,3.826569,3.767471,3.811794,1.126047,1223500
1996-12-19,3.885666,3.915215,3.843187,3.885666,1.147869,1814100
1996-12-20,3.928134,3.944764,3.691744,3.928134,1.160415,799000
1996-12-23,3.900441,3.959538,3.900441,3.900441,1.152234,15500
1996-12-24,3.974313,3.974313,3.974313,3.974313,1.174057,16800
1996-12-26,3.989087,3.989087,3.782246,3.989087,1.178421,54200
1996-12-27,3.944764,3.959538,3.870892,3.944764,1.165327,1356300
1996-12-30,4.048185,4.050029,3.841343,4.048185,1.195879,483000
1996-12-31,4.048185,4.048185,3.959538,4.048185,1.195879,5300
1997-01-02,3.946608,4.062959,3.900441,3.946608,1.165872,1302700
1997-01-03,3.974313,3.974313,3.900441,3.974313,1.174057,107700
1997-01-06,4.077734,4.107282,4.018636,4.077734,1.204608,1291300
1997-01-07,4.432319,4.432319,4.210703,4.432319,1.309357,2394800
1997-01-08,4.515422,4.581907,4.461868,4.515422,1.333906,2149100
1997-01-09,4.550514,4.639161,4.491416,4.550514,1.344273,1670300
1997-01-10,4.594837,4.594837,4.491416,4.594837,1.357366,702300
1997-01-13,4.550514,4.589294,4.506191,4.550514,1.344273,193900
1997-01-14,4.846002,4.846002,4.611455,4.846002,1.431563,1366000
1997-01-15,5.082393,5.082393,4.890326,5.082393,1.501396,837900
1997-01-16,4.875551,5.054688,4.875551,4.875551,1.440292,3243800
1997-01-17,4.905100,4.906944,4.727807,4.905100,1.449021,2796100
1997-01-20,4.855233,4.940180,4.785049,4.855233,1.434290,2115900
1997-01-21,4.875551,4.934649,4.831228,4.875551,1.440292,1882200
1997-01-22,4.846002,4.912487,4.846002,4.846002,1.431563,1055300
1997-01-23,5.052844,5.113785,4.877395,5.052844,1.492667,1358000
1997-01-24,5.097167,5.097167,5.023295,5.097167,1.505760,900500
1997-01-27,5.038069,5.099011,5.008521,5.038069,1.488302,1154300
1997-01-28,4.949423,5.052844,4.949423,4.949423,1.462115,268500
1997-01-29,4.844147,4.875551,4.799823,4.844147,1.431015,2526600
1997-01-30,4.905100,4.919874,4.847846,4.905100,1.449021,478300
1997-01-31,4.964197,4.978972,4.919874,4.964197,1.466479,1208300
1997-02-03,4.978972,4.978972,4.905100,4.978972,1.470844,658500
1997-02-04,4.964197,4.995590,4.905100,4.964197,1.466479,662600
1997-02-05,4.995590,5.047300,4.964197,4.995590,1.475753,2504500
