Date,Open,High,Low,Close,Adj Close,Volume
2002-04-09,17.590000,17.850000,17.440001,17.490000,17.490000,298500
2002-04-10,null,null,null,null,null,null
2002-04-11,null,null,null,null,null,null
2002-04-12,null,null,null,null,null,null
2002-04-15,null,null,null,null,null,null
2002-04-16,null,null,null,null,null,null
2002-04-17,null,null,null,null,null,null
2002-04-18,null,null,null,null,null,null
2002-04-19,null,null,null,null,null,null
2002-04-22,null,null,null,null,null,null
2002-04-23,null,null,null,null,null,null
2002-04-24,null,null,null,null,null,null
2002-04-25,null,null,null,null,null,null
2002-04-26,null,null,null,null,null,null
2002-04-29,null,null,null,null,null,null
2002-04-30,null,null,null,null,null,null
2002-05-01,null,null,null,null,null,null
2002-05-02,null,null,null,null,null,null
2002-05-03,null,null,null,null,null,null
2002-05-06,null,null,null,null,null,null
2002-05-07,null,null,null,null,null,null
2002-05-08,null,null,null,null,null,null
2002-05-09,null,null,null,null,null,null
2002-05-10,null,null,null,null,null,null
2002-05-13,null,null,null,null,null,null
2002-05-14,null,null,null,null,null,null
2002-05-15,null,null,null,null,null,null
2002-05-16,null,null,null,null,null,null
2002-05-17,null,null,null,null,null,null
2002-05-20,null,null,null,null,null,null
2002-05-21,null,null,null,null,null,null
2002-05-22,null,null,null,null,null,null
2002-05-23,null,null,null,null,null,null
2002-05-24,null,null,null,null,null,null
2002-05-28,null,null,null,null,null,null
2002-05-29,null,null,null,null,null,null
2002-05-30,null,null,null,null,null,null
2002-05-31,null,null,null,null,null,null
2002-06-03,null,null,null,null,null,null
2002-06-04,null,null,null,null,null,null
2002-06-05,null,null,null,null,null,null
2002-06-06,null,null,null,null,null,null
2002-06-07,null,null,null,null,null,null
2002-06-10,null,null,null,null,null,null
2002-06-11,null,null,null,null,null,null
2002-06-12,null,null,null,null,null,null
2002-06-13,null,null,null,null,null,null
2002-06-14,null,null,null,null,null,null
2002-06-17,null,null,null,null,null,null
2002-06-18,null,null,null,null,null,null
2002-06-19,null,null,null,null,null,null
2002-06-20,null,null,null,null,null,null
2002-06-21,null,null,null,null,null,null
2002-06-24,null,null,null,null,null,null
2002-06-25,null,null,null,null,null,null
2002-06-26,null,null,null,null,null,null
2002-06-27,null,null,null,null,null,null
2002-06-28,null,null,null,null,null,null
2002-07-01,null,null,null,null,null,null
2002-07-02,null,null,null,null,null,null
2002-07-03,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-08,14.260000,14.980000,14.100000,14.890000,14.890000,999000
2002-07-09,14.970000,15.250000,13.650000,13.650000,13.650000,570000
2002-07-10,13.770000,14.100000,12.980000,13.130000,13.130000,631200
2002-07-11,13.280000,13.400000,12.700000,13.010000,13.010000,411200
2002-07-12,13.210000,13.900000,12.660000,13.240000,13.240000,188500
2002-07-15,13.260000,13.370000,12.350000,13.080000,13.080000,465400
2002-07-16,12.950000,13.640000,12.650000,13.320000,13.320000,363900
2002-07-17,13.310000,13.670000,12.650000,13.450000,13.450000,311200
2002-07-18,13.500000,13.610000,12.430000,12.740000,12.740000,460200
2002-07-19,12.750000,12.750000,11.900000,12.240000,12.240000,287300
2002-07-22,12.250000,12.470000,11.250000,11.300000,11.300000,371600
2002-07-23,11.300000,11.490000,9.370000,10.250000,10.250000,1086400
2002-07-24,10.200000,10.850000,9.850000,10.280000,10.280000,1064400
2002-07-25,10.840000,12.040000,10.520000,11.150000,11.150000,1007400
2002-07-26,11.520000,11.810000,10.680000,10.990000,10.990000,521400
2002-07-29,11.610000,12.650000,11.280000,12.460000,12.460000,560600
2002-07-30,12.580000,13.730000,12.200000,13.020000,13.020000,504300
2002-07-31,13.160000,13.500000,12.950000,13.340000,13.340000,478800
2002-08-01,13.330000,13.350000,11.990000,12.220000,12.220000,392900
2002-08-02,12.230000,12.230000,11.500000,11.850000,11.850000,501000
2002-08-05,11.780000,11.780000,9.860000,10.890000,10.890000,789400
2002-08-06,10.900000,12.480000,10.900000,11.790000,11.790000,679100
2002-08-07,11.650000,12.350000,11.420000,11.970000,11.970000,371700
2002-08-08,12.000000,12.750000,11.740000,12.400000,12.400000,230500
2002-08-09,12.230000,12.550000,11.860000,12.120000,12.120000,289300
2002-08-12,12.110000,12.250000,11.750000,12.180000,12.180000,283700
2002-08-13,12.100000,12.150000,11.620000,11.740000,11.740000,324900
2002-08-14,11.610000,12.120000,11.590000,12.100000,12.100000,219500
2002-08-15,11.860000,13.640000,11.860000,13.550000,13.550000,963100
2002-08-16,13.300000,15.780000,13.250000,15.470000,15.470000,802300
2002-08-19,15.590000,16.020000,15.060000,15.470000,15.470000,748700
2002-08-20,15.640000,16.030001,15.460000,15.990000,15.990000,336800
2002-08-21,16.000000,16.680000,15.800000,16.600000,16.600000,598400
2002-08-22,16.620001,16.709999,15.750000,16.240000,16.240000,241600
2002-08-23,16.190001,16.190001,14.960000,15.030000,15.030000,320600
2002-08-26,15.290000,15.550000,14.540000,15.050000,15.050000,380200
2002-08-27,14.890000,15.090000,14.220000,14.390000,14.390000,341400
2002-08-28,14.330000,14.350000,13.250000,13.570000,13.570000,294300
2002-08-29,13.450000,14.750000,13.440000,13.900000,13.900000,391000
2002-08-30,13.960000,14.740000,13.290000,13.960000,13.960000,256200
2002-09-03,13.800000,14.000000,12.780000,13.060000,13.060000,305800
2002-09-04,13.160000,13.700000,13.000000,13.590000,13.590000,363100
2002-09-05,13.540000,14.090000,12.890000,13.410000,13.410000,420100
2002-09-06,14.010000,15.150000,13.810000,14.990000,14.990000,455900
2002-09-09,15.150000,15.250000,14.370000,15.250000,15.250000,395300
2002-09-10,15.580000,15.800000,15.080000,15.470000,15.470000,446900
2002-09-11,15.080000,16.889999,15.060000,16.490000,16.490000,751400
2002-09-12,16.250000,16.500000,15.920000,16.230000,16.230000,659500
2002-09-13,16.200001,16.950001,15.810000,16.850000,16.850000,284000
2002-09-16,16.730000,16.969999,16.549999,16.760000,16.760000,294600
2002-09-17,16.799999,17.549999,16.799999,17.250000,17.250000,328300
2002-09-18,17.340000,17.350000,16.500000,16.500000,16.500000,555700
2002-09-19,16.620001,16.799999,16.190001,16.219999,16.219999,355700
2002-09-20,16.260000,17.240000,16.190001,17.000000,17.000000,526100
2002-09-23,16.950001,17.080000,16.049999,16.480000,16.480000,289900
2002-09-24,16.299999,17.400000,16.240000,16.400000,16.400000,450300
2002-09-25,16.510000,17.200001,16.510000,17.170000,17.170000,640500
2002-09-26,17.190001,18.170000,17.170000,17.969999,17.969999,960800
2002-09-27,17.969999,18.190001,17.540001,17.580000,17.580000,413500
2002-09-30,17.570000,18.010000,17.190001,17.650000,17.650000,425000
2002-10-01,17.660000,18.290001,17.549999,18.200001,18.200001,1117500
2002-10-02,18.139999,19.150000,17.930000,18.879999,18.879999,1298900
2002-10-03,18.950001,19.340000,17.750000,17.900000,17.900000,816800
2002-10-04,17.690001,17.690001,15.150000,17.000000,17.000000,2029100
2002-10-07,16.600000,16.700001,14.750000,15.110000,15.110000,550800
2002-10-08,15.110000,16.330000,15.100000,16.040001,16.040001,670300
2002-10-09,16.340000,16.520000,15.940000,16.139999,16.139999,796700
2002-10-10,16.100000,17.600000,15.920000,16.879999,16.879999,574400
2002-10-11,16.799999,17.340000,16.430000,17.030001,17.030001,652200
2002-10-14,17.000000,17.250000,16.350000,16.670000,16.670000,385400
2002-10-15,16.820000,17.870001,16.809999,17.549999,17.549999,497800
2002-10-16,17.480000,17.629999,17.000000,17.530001,17.530001,582700
2002-10-17,18.209999,18.780001,17.879999,18.490000,18.490000,483400
2002-10-18,18.410000,18.600000,18.160000,18.420000,18.420000,327400
2002-10-21,18.350000,19.400000,18.200001,19.000000,19.000000,462600
2002-10-22,18.950001,19.030001,18.150000,18.860001,18.860001,643400
2002-10-23,18.750000,19.000000,18.360001,18.940001,18.940001,268500
2002-10-24,18.980000,19.330000,18.209999,18.600000,18.600000,488300
2002-10-25,19.299999,19.350000,18.549999,19.020000,19.020000,259900
2002-10-28,19.190001,19.430000,18.250000,18.260000,18.260000,541100
2002-10-29,18.280001,18.730000,17.959999,18.280001,18.280001,385000
2002-10-30,18.440001,18.780001,17.740000,18.180000,18.180000,352300
2002-10-31,18.100000,18.389999,17.020000,17.139999,17.139999,530000
2002-11-01,17.110001,17.110001,15.730000,16.309999,16.309999,1361400
2002-11-04,16.860001,18.139999,16.830000,17.629999,17.629999,1226300
2002-11-05,17.500000,18.059999,17.490000,17.980000,17.980000,353900
2002-11-06,17.170000,17.700001,16.410000,17.690001,17.690001,1209000
2002-11-07,17.620001,17.639999,16.549999,16.719999,16.719999,486000
2002-11-08,16.700001,17.110001,16.080000,16.270000,16.270000,338900
2002-11-11,16.299999,16.600000,15.700000,16.240000,16.240000,432400
2002-11-12,16.250000,16.809999,16.100000,16.580000,16.580000,282600
2002-11-13,16.430000,17.000000,15.800000,16.670000,16.670000,374800
2002-11-14,16.850000,17.350000,16.799999,17.260000,17.260000,219100
2002-11-15,17.270000,17.360001,16.780001,17.299999,17.299999,228800
2002-11-18,17.200001,17.950001,16.830000,16.930000,16.930000,333200
2002-11-19,16.910000,16.950001,16.080000,16.370001,16.370001,388500
2002-11-20,16.299999,17.200001,16.100000,17.180000,17.180000,265900
2002-11-21,17.200001,18.000000,17.100000,17.820000,17.820000,264900
2002-11-22,17.700001,18.139999,17.410000,17.860001,17.860001,318900
2002-11-25,17.860001,18.200001,17.740000,18.049999,18.049999,377800
2002-11-26,17.980000,18.049999,17.080000,17.090000,17.090000,249100
2002-11-27,17.139999,18.000000,17.139999,17.360001,17.360001,265000
2002-11-29,17.379999,17.400000,16.400000,16.600000,16.600000,288300
2002-12-02,16.850000,16.980000,15.600000,15.990000,15.990000,591800
2002-12-03,16.000000,16.010000,15.210000,15.760000,15.760000,594000
2002-12-04,15.700000,15.920000,15.400000,15.520000,15.520000,359900
2002-12-05,15.750000,16.090000,15.400000,15.930000,15.930000,387000
2002-12-06,15.800000,16.410000,15.630000,16.200001,16.200001,255800
2002-12-09,16.100000,16.230000,15.250000,15.270000,15.270000,353700
2002-12-10,15.450000,16.540001,15.440000,15.880000,15.880000,419000
2002-12-11,15.990000,15.990000,14.930000,15.350000,15.350000,408300
2002-12-12,15.360000,15.540000,14.600000,14.790000,14.790000,365600
2002-12-13,14.790000,14.800000,13.670000,14.040000,14.040000,1039100
2002-12-16,14.000000,14.550000,13.950000,14.460000,14.460000,605300
2002-12-17,14.510000,15.500000,14.470000,15.020000,15.020000,361100
2002-12-18,15.070000,15.110000,14.350000,14.860000,14.860000,452400
2002-12-19,14.870000,15.150000,14.600000,14.800000,14.800000,874000
2002-12-20,14.650000,15.290000,14.620000,15.000000,15.000000,213600
2002-12-23,15.000000,15.740000,15.000000,15.550000,15.550000,251400
2002-12-24,15.570000,15.990000,15.290000,15.350000,15.350000,189000
2002-12-26,15.470000,15.500000,15.000000,15.130000,15.130000,237400
2002-12-27,14.970000,15.150000,14.650000,14.990000,14.990000,251800
2002-12-30,14.910000,15.040000,14.700000,14.810000,14.810000,287300
2002-12-31,14.810000,15.030000,14.640000,14.830000,14.830000,230800
2003-01-02,14.970000,15.540000,14.560000,15.350000,15.350000,471700
2003-01-03,15.400000,15.850000,15.270000,15.550000,15.550000,256100
2003-01-06,15.610000,16.780001,15.460000,16.709999,16.709999,522700
2003-01-07,16.750000,16.980000,16.190001,16.500000,16.500000,585300
2003-01-08,16.530001,16.610001,16.200001,16.309999,16.309999,384700
2003-01-09,16.320000,16.690001,16.320000,16.430000,16.430000,424300
2003-01-10,16.450001,16.490000,16.030001,16.219999,16.219999,328600
2003-01-13,16.250000,16.850000,16.240000,16.650000,16.650000,631200
2003-01-14,16.629999,17.450001,16.370001,17.410000,17.410000,276300
2003-01-15,17.400000,17.480000,16.910000,17.110001,17.110001,215300
2003-01-16,17.129999,17.139999,16.690001,16.809999,16.809999,176100
2003-01-17,16.670000,16.740000,16.090000,16.299999,16.299999,217200
2003-01-21,16.190001,16.270000,15.750000,16.270000,16.270000,434700
2003-01-22,16.150000,16.290001,15.770000,16.030001,16.030001,249600
2003-01-23,16.030001,16.350000,15.950000,16.290001,16.290001,169100
2003-01-24,16.190001,16.240000,15.180000,15.190000,15.190000,365700
2003-01-27,15.180000,15.200000,14.920000,14.930000,14.930000,291100
2003-01-28,14.950000,15.600000,14.900000,15.600000,15.600000,388800
2003-01-29,15.550000,15.810000,14.990000,15.680000,15.680000,330300
2003-01-30,15.710000,15.810000,14.600000,14.700000,14.700000,186500
2003-01-31,14.680000,15.250000,14.610000,14.980000,14.980000,208500
2003-02-03,14.990000,15.440000,14.940000,15.000000,15.000000,159600
2003-02-04,14.990000,15.100000,14.000000,14.370000,14.370000,463100
2003-02-05,14.450000,15.200000,14.340000,14.690000,14.690000,523400
2003-02-06,14.320000,14.800000,14.300000,14.570000,14.570000,454700
2003-02-07,14.610000,14.820000,14.180000,14.360000,14.360000,195900
2003-02-10,14.320000,14.650000,13.750000,14.090000,14.090000,478700
2003-02-11,14.200000,14.850000,13.990000,14.170000,14.170000,264000
2003-02-12,14.190000,14.240000,13.920000,14.010000,14.010000,459300
2003-02-13,14.000000,14.040000,12.740000,12.800000,12.800000,925700
2003-02-14,12.680000,13.560000,12.670000,13.560000,13.560000,585500
2003-02-18,13.560000,14.580000,13.460000,14.070000,14.070000,563000
2003-02-19,13.900000,13.960000,13.150000,13.560000,13.560000,1257400
2003-02-20,13.910000,14.560000,13.900000,14.220000,14.220000,598900
2003-02-21,14.220000,14.950000,14.220000,14.700000,14.700000,476100
2003-02-24,14.680000,14.710000,14.160000,14.280000,14.280000,348600
2003-02-25,14.180000,14.590000,13.600000,14.410000,14.410000,787600
2003-02-26,14.320000,14.450000,14.170000,14.310000,14.310000,324500
2003-02-27,14.400000,14.790000,14.260000,14.680000,14.680000,170000
2003-02-28,14.800000,14.980000,14.510000,14.760000,14.760000,216400
2003-03-03,14.900000,15.200000,14.800000,15.000000,15.000000,349700
2003-03-04,14.950000,15.000000,13.990000,14.030000,14.030000,540600
2003-03-05,14.020000,14.540000,13.970000,14.110000,14.110000,312200
2003-03-06,14.220000,14.370000,13.960000,14.100000,14.100000,348800
2003-03-07,13.950000,14.580000,13.660000,14.570000,14.570000,408000
2003-03-10,14.560000,14.560000,14.110000,14.120000,14.120000,349400
2003-03-11,14.180000,14.350000,14.000000,14.060000,14.060000,400700
2003-03-12,14.000000,14.180000,13.940000,14.090000,14.090000,691200
2003-03-13,14.160000,15.380000,14.150000,15.080000,15.080000,565200
2003-03-14,15.120000,15.430000,15.000000,15.160000,15.160000,406100
2003-03-17,15.140000,16.150000,15.020000,16.070000,16.070000,623200
2003-03-18,16.080000,16.200001,15.510000,15.650000,15.650000,266800
2003-03-19,15.540000,15.540000,14.180000,15.020000,15.020000,1178500
2003-03-20,14.790000,15.530000,14.270000,15.480000,15.480000,742400
2003-03-21,15.540000,16.030001,15.360000,15.930000,15.930000,437800
2003-03-24,15.800000,15.900000,14.860000,14.920000,14.920000,396100
2003-03-25,14.970000,15.250000,14.810000,15.160000,15.160000,561900
2003-03-26,15.200000,15.200000,14.480000,15.020000,15.020000,707100
2003-03-27,15.000000,15.370000,14.660000,15.320000,15.320000,280800
2003-03-28,15.280000,15.350000,14.770000,14.820000,14.820000,214900
2003-03-31,14.790000,14.910000,14.450000,14.560000,14.560000,226500
2003-04-01,14.770000,15.100000,14.480000,15.050000,15.050000,300400
2003-04-02,15.120000,16.049999,15.110000,15.830000,15.830000,619100
2003-04-03,15.940000,16.459999,15.940000,16.200001,16.200001,744000
2003-04-04,16.360001,16.510000,15.570000,16.010000,16.010000,261000
2003-04-07,16.150000,16.820000,16.100000,16.600000,16.600000,584200
2003-04-08,16.639999,16.879999,16.389999,16.549999,16.549999,681000
2003-04-09,16.520000,16.860001,16.520000,16.850000,16.850000,563900
2003-04-10,16.860001,16.990000,16.500000,16.719999,16.719999,198200
