Date,Open,High,Low,Close,Adj Close,Volume
2006-07-20,19.490000,19.490000,19.490000,19.490000,15.604571,0
2006-07-21,19.469999,19.469999,19.469999,19.469999,15.588558,5200
2006-07-24,19.520000,19.520000,19.230000,19.520000,15.628595,11800
2006-07-25,19.629999,19.820000,19.540001,19.629999,15.716660,3100
2006-07-26,20.219999,26.020000,20.219999,20.219999,16.189045,13300
2006-07-27,20.110001,20.250000,20.110001,20.110001,16.100967,2500
2006-07-28,20.100000,20.110001,20.100000,20.100000,16.092964,1800
2006-07-31,20.320000,20.370001,20.020000,20.320000,16.269112,9600
2006-08-01,20.240000,20.450001,20.070000,20.240000,16.205057,4300
2006-08-02,20.680000,20.690001,20.610001,20.680000,16.557339,3000
2006-08-03,20.680000,20.680000,20.510000,20.680000,16.557339,5000
2006-08-04,20.730000,20.740000,20.570000,20.730000,16.597376,2400
2006-08-07,20.730000,20.730000,20.730000,20.730000,16.597376,0
2006-08-08,20.889999,20.980000,20.750000,20.889999,16.725470,15300
2006-08-09,20.850000,20.990000,20.850000,20.850000,16.693443,4300
2006-08-10,20.580000,20.580000,20.580000,20.580000,16.477276,1500
2006-08-11,20.580000,20.730000,20.580000,20.580000,16.477276,4100
2006-08-14,20.469999,20.600000,20.219999,20.469999,16.389204,5600
2006-08-15,20.600000,20.690001,20.590000,20.600000,16.493290,4800
2006-08-16,20.420000,20.790001,20.400000,20.420000,16.349176,14100
2006-08-17,20.080000,20.370001,19.930000,20.080000,16.076954,10000
2006-08-18,20.420000,20.420000,20.290001,20.420000,16.349176,6100
2006-08-21,20.750000,20.850000,20.709999,20.750000,16.613382,2500
2006-08-22,21.059999,21.170000,20.870001,21.059999,16.861584,2400
2006-08-23,21.129999,21.219999,20.959999,21.129999,16.917629,28300
2006-08-24,21.250000,21.280001,21.160000,21.250000,17.013706,5400
2006-08-25,21.240000,21.610001,21.230000,21.240000,17.005701,8100
2006-08-28,21.240000,21.240000,21.240000,21.240000,17.005701,200
2006-08-29,20.760000,20.920000,20.690001,20.760000,16.621393,9400
2006-08-30,20.559999,21.080000,20.290001,20.559999,16.461266,8600
2006-08-31,20.639999,20.730000,20.520000,20.639999,16.525318,1400
2006-09-01,21.240000,21.240000,20.740000,21.240000,17.005701,1600
2006-09-05,20.549999,22.549999,20.459999,20.549999,16.453253,17800
2006-09-06,19.940001,20.379999,19.930000,19.940001,15.964863,12500
2006-09-07,19.740000,20.120001,19.480000,19.740000,15.804735,12300
2006-09-08,19.610001,19.799999,19.610001,19.610001,15.700652,5300
2006-09-11,17.600000,19.540001,17.500000,17.600000,14.091351,44000
2006-09-12,17.510000,17.930000,17.400000,17.510000,14.019292,102800
2006-09-13,17.270000,17.660000,17.040001,17.270000,13.827146,52700
2006-09-14,17.049999,17.430000,16.940001,17.049999,13.650999,50400
2006-09-15,16.850000,16.889999,16.350000,16.850000,13.490870,10700
2006-09-18,16.879999,17.110001,16.799999,16.879999,13.514889,64300
2006-09-19,16.660000,17.000000,16.660000,16.660000,13.338745,34000
2006-09-20,16.389999,16.889999,16.389999,16.389999,13.122569,34800
2006-09-21,16.570000,16.719999,16.360001,16.570000,13.266688,4200
2006-09-22,16.410000,16.790001,16.410000,16.410000,13.138584,14700
2006-09-25,16.200001,16.360001,15.810000,16.200001,12.970450,14000
2006-09-26,16.150000,16.340000,16.100000,16.150000,12.930417,28300
2006-09-27,16.190001,16.250000,15.900000,16.190001,12.962441,30700
2006-09-28,16.240000,16.240000,16.020000,16.240000,13.002472,24800
2006-09-29,16.209999,16.490000,16.150000,16.209999,12.978456,17800
2006-10-02,16.309999,16.510000,16.250000,16.309999,13.058520,21200
2006-10-03,15.150000,16.200001,14.950000,15.150000,12.129771,39100
2006-10-04,14.960000,15.100000,14.290000,14.960000,11.977650,55100
2006-10-05,15.650000,15.650000,15.360000,15.650000,12.530095,31700
2006-10-06,15.520000,15.670000,15.330000,15.520000,12.426012,28400
2006-10-09,15.520000,15.520000,15.520000,15.520000,12.426012,0
2006-10-10,15.520000,15.770000,15.450000,15.520000,12.426012,33400
2006-10-11,15.470000,15.620000,15.470000,15.470000,12.385976,21900
2006-10-12,15.650000,15.740000,15.500000,15.650000,12.530095,32300
2006-10-13,16.520000,16.520000,15.990000,16.520000,13.226655,77700
2006-10-16,17.219999,17.219999,16.570000,17.219999,13.787111,37600
2006-10-17,17.450001,17.540001,17.010000,17.450001,13.971258,37500
2006-10-18,17.440001,17.750000,17.360001,17.440001,13.963250,30400
2006-10-19,17.799999,17.850000,17.600000,17.799999,14.251479,31600
2006-10-20,17.790001,18.000000,17.770000,17.790001,14.243483,49600
2006-10-23,17.360001,17.580000,17.280001,17.360001,13.899198,4500
2006-10-24,17.510000,17.540001,17.320000,17.510000,14.019292,28100
2006-10-25,18.070000,18.070000,18.070000,18.070000,14.467653,23700
2006-10-26,18.360001,18.500000,18.360001,18.360001,14.699845,10100
2006-10-27,18.010000,18.350000,17.879999,18.010000,14.419612,5500
2006-10-30,17.950001,17.950001,17.709999,17.950001,14.371579,22100
2006-10-31,17.840000,17.840000,17.639999,17.840000,14.283509,12200
2006-11-01,14.870000,16.170000,14.670000,14.870000,11.905594,60200
2006-11-02,13.990000,14.960000,13.550000,13.990000,11.201023,81100
2006-11-03,15.290000,15.410000,14.190000,15.290000,12.241862,50900
2006-11-06,15.400000,15.920000,15.390000,15.400000,12.329932,26300
2006-11-07,14.770000,15.680000,14.660000,14.770000,11.825526,74000
2006-11-08,14.880000,15.060000,14.770000,14.880000,11.913600,21200
2006-11-09,14.540000,15.080000,14.540000,14.540000,11.641378,29700
2006-11-10,14.200000,14.840000,14.000000,14.200000,11.369160,20500
2006-11-13,13.780000,13.800000,13.330000,13.780000,11.032888,67800
2006-11-14,13.730000,13.780000,13.590000,13.730000,10.992854,49900
2006-11-15,14.570000,14.830000,13.700000,14.570000,11.665397,41000
2006-11-16,13.650000,14.990000,13.650000,13.650000,10.928805,43400
2006-11-17,14.160000,14.230000,13.400000,14.160000,11.337135,46500
2006-11-20,14.060000,14.370000,14.060000,14.060000,11.257071,36300
2006-11-21,14.950000,14.950000,14.720000,14.950000,11.969645,9800
2006-11-22,14.810000,15.100000,14.680000,14.810000,11.857551,9000
2006-11-24,14.810000,14.810000,14.810000,14.810000,11.857551,0
2006-11-27,14.810000,15.200000,14.780000,14.810000,11.857551,18400
2006-11-28,14.750000,14.820000,14.750000,14.750000,11.809516,4000
2006-11-29,15.070000,15.100000,14.700000,15.070000,12.065722,13500
2006-11-30,15.220000,15.300000,15.030000,15.220000,12.185820,7700
2006-12-01,15.270000,15.270000,14.980000,15.270000,12.225853,9100
2006-12-04,15.450000,15.450000,15.280000,15.450000,12.369965,30500
2006-12-05,15.650000,15.650000,15.350000,15.650000,12.530095,13500
2006-12-06,15.280000,15.560000,15.280000,15.280000,12.233855,11200
2006-12-07,15.170000,15.310000,15.170000,15.170000,12.145784,15800
2006-12-08,15.100000,15.460000,15.100000,15.100000,12.089743,40300
2006-12-11,15.570000,15.570000,15.090000,15.570000,12.466043,128200
2006-12-12,14.820000,15.530000,14.800000,14.820000,11.865558,8800
2006-12-13,14.680000,15.100000,14.680000,14.680000,11.753468,20900
2006-12-14,15.100000,15.240000,14.900000,15.100000,12.089743,6700
2006-12-15,15.250000,15.340000,15.200000,15.250000,12.209837,14000
2006-12-18,15.130000,15.130000,14.930000,15.130000,12.113757,4400
2006-12-19,15.050000,15.050000,14.900000,14.900000,11.929612,5200
2006-12-20,15.170000,15.220000,15.020000,15.170000,12.145784,24100
2006-12-21,15.290000,15.310000,15.280000,15.290000,12.241862,2800
2006-12-22,15.470000,15.480000,15.460000,15.470000,12.385976,800
2006-12-26,15.470000,15.470000,15.470000,15.470000,12.385976,0
2006-12-27,15.450000,15.590000,15.250000,15.450000,12.369965,11300
2006-12-28,15.140000,15.500000,15.130000,15.140000,12.121769,11500
2006-12-29,15.000000,15.310000,14.970000,15.000000,12.009673,18900
2007-01-03,13.890000,14.780000,13.820000,13.890000,11.120958,57700
2007-01-04,14.070000,14.090000,13.840000,14.070000,11.265076,31000
2007-01-05,14.190000,14.370000,13.740000,14.190000,11.361154,24500
2007-01-08,14.070000,14.220000,13.930000,14.070000,11.265076,15100
2007-01-09,13.860000,13.990000,13.800000,13.860000,11.096941,10000
2007-01-10,13.700000,13.800000,13.700000,13.700000,10.968835,5100
2007-01-11,13.560000,13.810000,13.560000,13.560000,10.856748,23600
2007-01-12,13.880000,13.900000,13.730000,13.880000,11.112953,4000
2007-01-16,13.630000,13.840000,13.500000,13.630000,10.912789,18700
2007-01-17,13.540000,13.540000,13.510000,13.540000,10.840734,2000
2007-01-18,13.530000,13.740000,13.530000,13.530000,10.832728,8600
2007-01-19,13.620000,13.780000,13.490000,13.620000,10.904784,6900
2007-01-22,13.600000,13.610000,13.600000,13.600000,10.888773,3000
2007-01-23,13.780000,13.810000,13.610000,13.780000,11.032888,5800
2007-01-24,13.920000,13.920000,13.840000,13.920000,11.144980,3800
2007-01-25,13.690000,13.980000,13.590000,13.690000,10.960830,17400
2007-01-26,13.790000,13.880000,13.690000,13.790000,11.040895,14900
2007-01-29,13.690000,13.900000,13.690000,13.690000,10.960830,3300
2007-01-30,13.970000,14.010000,13.760000,13.970000,11.185008,8800
2007-01-31,14.210000,14.230000,13.850000,14.210000,11.377169,6000
2007-02-01,14.370000,14.370000,14.360000,14.370000,11.505268,2300
2007-02-02,14.330000,14.330000,14.330000,14.330000,11.473243,1500
2007-02-05,14.330000,14.330000,14.330000,14.330000,11.473243,0
2007-02-06,14.950000,14.950000,14.900000,14.950000,11.969645,2100
2007-02-07,14.830000,14.990000,14.760000,14.830000,11.873565,9500
2007-02-08,14.640000,14.750000,14.550000,14.640000,11.721441,1800
2007-02-09,14.690000,14.770000,14.690000,14.690000,11.761477,1500
2007-02-12,14.410000,14.700000,14.300000,14.410000,11.537292,6300
2007-02-13,14.420000,14.560000,14.420000,14.420000,11.545300,7400
2007-02-14,14.570000,14.570000,14.380000,14.570000,11.665397,2100
2007-02-15,14.720000,14.720000,14.460000,14.720000,11.785493,6000
2007-02-16,14.710000,14.760000,14.660000,14.710000,11.777485,25100
2007-02-20,14.710000,14.710000,14.540000,14.710000,11.777485,5900
2007-02-21,14.950000,14.950000,14.790000,14.950000,11.969645,13900
2007-02-22,14.970000,15.070000,14.880000,14.970000,11.985657,6300
2007-02-23,15.450000,15.510000,15.190000,15.450000,12.369965,27800
2007-02-26,15.330000,15.470000,15.330000,15.330000,12.273891,54500
2007-02-27,14.940000,15.300000,14.940000,14.940000,11.961637,7800
2007-02-28,14.800000,15.110000,14.800000,14.800000,11.849547,1500
2007-03-01,14.850000,14.850000,14.850000,14.850000,11.889578,1000
2007-03-02,14.490000,14.810000,14.490000,14.490000,11.601345,11500
2007-03-05,14.000000,14.210000,14.000000,14.000000,11.209029,13600
2007-03-06,14.020000,14.050000,13.930000,14.020000,11.225044,3000
2007-03-07,14.190000,14.210000,13.910000,14.190000,11.361154,6700
2007-03-08,14.080000,14.170000,14.080000,14.080000,11.273083,3000
2007-03-09,13.860000,14.170000,13.860000,13.860000,11.096941,3800
2007-03-12,13.870000,14.100000,13.700000,13.870000,11.104946,7900
2007-03-13,14.460000,14.630000,14.010000,14.460000,11.577326,24900
2007-03-14,14.570000,14.570000,14.270000,14.570000,11.665397,9700
2007-03-15,15.060000,15.070000,14.690000,15.060000,12.057714,24400
2007-03-16,15.070000,15.120000,14.850000,15.070000,12.065722,9200
2007-03-19,15.410000,15.460000,15.110000,15.410000,12.337940,23300
2007-03-20,15.460000,15.470000,15.460000,15.460000,12.377974,5900
2007-03-21,15.940000,15.980000,15.470000,15.940000,12.762281,7000
2007-03-22,16.000000,16.350000,16.000000,16.000000,12.810318,2500
2007-03-23,16.000000,16.209999,16.000000,16.049999,12.850350,4200
2007-03-26,16.040001,16.180000,16.040001,16.040001,12.842349,15800
2007-03-27,16.280001,16.299999,16.120001,16.280001,13.034503,3100
2007-03-28,16.219999,16.250000,16.160000,16.219999,12.986465,26500
2007-03-29,16.200001,16.320000,16.110001,16.200001,12.970450,35500
2007-03-30,15.970000,16.150000,15.960000,15.970000,12.786304,3400
2007-04-02,16.200001,16.200001,15.800000,16.200001,12.970450,31300
2007-04-03,15.960000,16.120001,15.960000,15.960000,12.778295,3600
2007-04-04,15.890000,16.090000,15.830000,15.890000,12.722252,14600
2007-04-05,15.940000,16.100000,15.940000,15.940000,12.762281,10900
2007-04-09,15.590000,16.000000,15.500000,15.590000,12.482053,7800
2007-04-10,15.670000,15.850000,15.640000,15.670000,12.546109,5800
2007-04-11,16.030001,16.030001,15.630000,16.030001,12.834340,14300
2007-04-12,16.330000,16.330000,15.930000,16.330000,13.074533,25500
2007-04-13,16.650000,16.680000,16.250000,16.650000,13.330740,9500
2007-04-16,16.910000,16.910000,16.690001,16.910000,13.538907,20000
2007-04-17,16.850000,17.080000,16.770000,16.850000,13.490870,6200
2007-04-18,16.850000,16.940001,16.809999,16.850000,13.490870,10000
2007-04-19,16.760000,16.830000,16.660000,16.760000,13.418810,17800
2007-04-20,17.150000,17.170000,17.110001,17.150000,13.731065,6700
2007-04-23,17.170000,17.270000,17.150000,17.170000,13.747073,4700
2007-04-24,17.120001,17.129999,17.000000,17.120001,13.707045,5800
2007-04-25,16.969999,17.040001,16.879999,16.969999,13.586949,6200
2007-04-26,16.650000,16.650000,16.549999,16.650000,13.330740,14600
2007-04-27,17.049999,17.049999,16.799999,17.049999,13.650999,8100
2007-04-30,17.080000,17.299999,16.950001,17.080000,13.675016,3000
2007-05-01,17.299999,17.299999,17.129999,17.299999,13.851160,23900
2007-05-02,17.620001,17.620001,17.309999,17.620001,14.107367,8900
2007-05-03,17.879999,17.990000,17.840000,17.879999,14.315536,9000
2007-05-04,17.990000,17.990000,17.850000,17.990000,14.403603,3200
2007-05-07,18.209999,18.209999,17.980000,18.209999,14.579741,27500
2007-05-08,17.889999,18.080000,17.860001,17.889999,14.323540,800
2007-05-09,17.879999,17.879999,17.719999,17.879999,14.315536,5100
2007-05-10,17.740000,18.000000,17.730000,17.740000,14.203441,10400
2007-05-11,18.020000,18.100000,18.010000,18.020000,14.427622,1700
2007-05-14,17.990000,18.280001,17.990000,17.990000,14.403603,4300
2007-05-15,18.000000,18.150000,17.969999,18.000000,14.411610,3000
2007-05-16,18.049999,18.049999,17.950001,18.049999,14.451646,6300
2007-05-17,18.150000,18.150000,18.010000,18.150000,14.531710,2300
2007-05-18,18.510000,18.650000,18.500000,18.510000,14.819937,7100
2007-05-21,18.510000,18.510000,18.510000,18.510000,14.819937,0
2007-05-22,18.969999,19.040001,18.840000,18.969999,15.188239,17800
2007-05-23,19.190001,19.270000,19.160000,19.190001,15.364379,13600
2007-05-24,18.920000,19.170000,18.920000,18.920000,15.148204,1700
