Date,Open,High,Low,Close,Adj Close,Volume
2014-02-08,0.050000,0.070000,0.050000,0.070000,0.070000,29
2014-02-09,0.070000,0.100000,0.070000,0.100000,0.100000,0
2014-02-10,0.100000,0.100000,0.100000,0.100000,0.100000,0
2014-02-11,0.100000,0.100000,0.100000,0.100000,0.100000,0
2014-02-12,0.100000,0.100000,0.100000,0.100000,0.100000,0
2014-02-13,0.100000,0.250000,0.100000,0.250000,0.250000,50
2014-02-14,0.250000,0.250000,0.250000,0.250000,0.250000,0
2014-02-15,0.250000,0.250000,0.250000,0.250000,0.250000,0
2014-02-16,0.250000,0.330000,0.250000,0.320000,0.320000,2
2014-02-17,0.320000,100.000000,0.099000,100.000000,100.000000,1
2014-02-18,100.000000,100.000000,100.000000,100.000000,100.000000,0
2014-02-19,100.000000,100.000000,0.900000,0.900000,0.900000,0
2014-02-20,0.900000,2.000000,0.900000,1.200000,1.200000,33
2014-02-21,1.200000,1.300000,1.080000,1.250000,1.250000,14
2014-02-22,1.250000,1.250000,0.103000,0.103000,0.103000,7
2014-02-23,0.103000,1.260000,0.103000,1.000000,1.000000,37
2014-02-24,1.000000,1.300000,1.000000,1.300000,1.300000,3
2014-02-25,1.300000,1.300000,0.800000,0.800000,0.800000,50
2014-02-26,0.800000,1.500000,0.030000,1.500000,1.500000,1
2014-02-27,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-02-28,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-03-01,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-03-02,1.500000,1.500000,0.800000,0.900000,0.900000,18
2014-03-03,0.900000,1.000000,0.890000,0.900000,0.900000,8
2014-03-04,0.900000,0.900000,0.800000,0.800000,0.800000,5
2014-03-05,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-06,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-07,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-08,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-09,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-10,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-11,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-12,0.800000,0.800000,0.800000,0.800000,0.800000,0
2014-03-13,0.800000,1.000000,0.790000,0.790000,0.790000,8
2014-03-14,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-15,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-16,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-17,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-18,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-19,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-20,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-21,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-22,0.790000,0.790000,0.790000,0.790000,0.790000,0
2014-03-23,0.790000,0.790000,0.700000,0.700000,0.700000,1
2014-03-24,0.700000,0.780000,0.700000,0.780000,0.780000,4
