Date,Open,High,Low,Close,Adj Close,Volume
2005-02-03,226732800.000000,237552000.000000,222616800.000000,237552000.000000,232806080.000000,0
2005-02-04,235200000.000000,252252000.000000,234259200.000000,244490400.000000,239605856.000000,0
2005-02-07,248959200.000000,252840000.000000,238492800.000000,241080000.000000,236263584.000000,0
2005-02-08,242256000.000000,244020000.000000,237787200.000000,240374400.000000,235572096.000000,0
2005-02-09,236023200.000000,239316000.000000,234024000.000000,234024000.000000,229348560.000000,0
2005-02-10,233436000.000000,242844000.000000,231319200.000000,239198400.000000,234419600.000000,0
2005-02-11,241080000.000000,242726400.000000,235200000.000000,235670400.000000,230962064.000000,0
2005-02-14,236611200.000000,236611200.000000,231672000.000000,231672000.000000,227043552.000000,0
2005-02-15,234024000.000000,245784000.000000,234024000.000000,242844000.000000,237992336.000000,0
2005-02-16,244020000.000000,244020000.000000,235200000.000000,241080000.000000,236263584.000000,0
2005-02-17,246960000.000000,248371200.000000,241550400.000000,247077600.000000,242141360.000000,0
2005-02-18,251546400.000000,256368000.000000,250488000.000000,253428000.000000,248364896.000000,0
2005-02-22,251664000.000000,259308000.000000,245784000.000000,247195200.000000,242256624.000000,0
2005-02-23,250488000.000000,255192000.000000,245901600.000000,255192000.000000,250093664.000000,0
2005-02-24,259308000.000000,270480000.000000,255780000.000000,269304000.000000,263923728.000000,0
2005-02-25,269304000.000000,279300000.000000,264482400.000000,272361600.000000,266920224.000000,0
2005-02-28,278712000.000000,281064000.000000,258132000.000000,262836000.000000,257584944.000000,0
2005-03-01,266952000.000000,271656000.000000,260484000.000000,269304000.000000,263923728.000000,0
2005-03-02,272832000.000000,272832000.000000,263894400.000000,264364800.000000,259083184.000000,0
2005-03-03,275066400.000000,275184000.000000,260601600.000000,261307200.000000,256086672.000000,0
2005-03-04,264600000.000000,265776000.000000,253545600.000000,261895200.000000,256662928.000000,0
2005-03-07,262248000.000000,264482400.000000,252957600.000000,255780000.000000,250669920.000000,0
2005-03-08,261072000.000000,263306400.000000,249312000.000000,249782400.000000,244792112.000000,0
2005-03-09,255544800.000000,255544800.000000,241080000.000000,245431200.000000,240527856.000000,0
2005-03-10,250488000.000000,250488000.000000,232965600.000000,234024000.000000,229348560.000000,0
2005-03-11,235200000.000000,249782400.000000,234024000.000000,236728800.000000,231999312.000000,0
2005-03-14,238140000.000000,240492000.000000,234612000.000000,236376000.000000,231653568.000000,0
2005-03-15,239316000.000000,240492000.000000,235200000.000000,238140000.000000,233382320.000000,0
2005-03-16,235200000.000000,238140000.000000,235200000.000000,237552000.000000,232806080.000000,0
2005-03-17,237316800.000000,243432000.000000,236964000.000000,241197600.000000,236378848.000000,0
2005-03-18,242844000.000000,243667200.000000,237081600.000000,239904000.000000,235111072.000000,0
2005-03-21,240139200.000000,249312000.000000,240139200.000000,243432000.000000,238568608.000000,0
2005-03-22,246254400.000000,249076800.000000,243784800.000000,246254400.000000,241334608.000000,0
2005-03-23,248136000.000000,249312000.000000,242491200.000000,245431200.000000,240527856.000000,0
2005-03-24,248136000.000000,248136000.000000,240256800.000000,243432000.000000,238568608.000000,0
2005-03-28,242256000.000000,244960800.000000,236376000.000000,239904000.000000,235111072.000000,0
2005-03-29,238610400.000000,238610400.000000,210504000.000000,218736000.000000,214365984.000000,0
2005-03-30,220617600.000000,227673600.000000,220500000.000000,227673600.000000,223125040.000000,0
2005-03-31,227673600.000000,230848800.000000,221205600.000000,229202400.000000,224623296.000000,0
2005-04-01,229320000.000000,230496000.000000,220617600.000000,224498400.000000,220013280.000000,0
2005-04-04,226850400.000000,226850400.000000,215678400.000000,218030400.000000,213674480.000000,0
