Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,8.900000,9.100000,8.900000,8.980000,8.980000,151000
2013-05-02,9.200000,9.200000,8.900000,9.090000,9.090000,69200
2013-05-03,9.150000,9.150000,9.040000,9.040000,9.040000,51100
2013-05-06,9.100000,9.100000,8.900000,8.980000,8.980000,23000
2013-05-07,9.050000,9.050000,8.900000,8.910000,8.910000,53300
2013-05-08,8.950000,9.040000,8.930000,9.000000,9.000000,32500
2013-05-09,8.990000,9.000000,8.900000,8.930000,8.930000,24900
2013-05-10,9.000000,9.000000,8.910000,8.920000,8.920000,13600
2013-05-13,8.910000,8.950000,8.900000,8.900000,8.900000,19600
2013-05-14,8.910000,9.000000,8.910000,8.910000,8.910000,104700
2013-05-15,8.990000,8.990000,8.900000,8.910000,8.910000,16000
2013-05-16,8.910000,8.950000,8.750000,8.910000,8.910000,316500
2013-05-17,8.880000,8.900000,8.720000,8.900000,8.900000,57900
2013-05-20,8.950000,8.950000,8.850000,8.930000,8.930000,22100
2013-05-21,8.850000,8.920000,8.800000,8.860000,8.860000,26200
2013-05-22,8.890000,8.920000,8.860000,8.880000,8.880000,13300
2013-05-23,8.880000,8.920000,8.800000,8.920000,8.920000,31200
2013-05-24,8.850000,8.900000,8.800000,8.890000,8.890000,33900
2013-05-28,9.040000,9.140000,8.800000,8.810000,8.810000,159800
2013-05-29,9.000000,9.020000,8.870000,8.940000,8.940000,15900
2013-05-30,8.960000,9.110000,8.930000,9.000000,9.000000,35000
2013-05-31,9.000000,9.010000,8.900000,8.900000,8.900000,20100
2013-06-03,9.080000,9.080000,8.810000,8.880000,8.880000,5100
2013-06-04,8.900000,9.010000,8.850000,8.970000,8.970000,21000
2013-06-05,8.930000,9.020000,8.900000,8.980000,8.980000,16900
2013-06-06,9.000000,9.000000,8.800000,8.820000,8.820000,10600
2013-06-07,8.800000,9.010000,8.680000,9.010000,9.010000,27000
2013-06-10,9.080000,9.080000,8.690000,8.980000,8.980000,18800
2013-06-11,9.000000,9.000000,8.490000,8.510000,8.510000,27000
2013-06-12,8.670000,9.000000,8.460000,8.530000,8.530000,17400
2013-06-13,8.680000,8.950000,8.510000,8.860000,8.860000,7800
2013-06-14,8.840000,8.860000,8.520000,8.650000,8.650000,8800
2013-06-17,8.780000,8.880000,8.520000,8.570000,8.570000,6100
2013-06-18,8.600000,8.800000,8.550000,8.600000,8.600000,6900
2013-06-19,8.610000,8.850000,8.610000,8.760000,8.760000,12800
2013-06-20,8.700000,8.890000,8.700000,8.850000,8.850000,13100
2013-06-21,8.840000,8.990000,8.700000,8.750000,8.750000,11900
2013-06-24,8.660000,9.010000,8.560000,8.560000,8.560000,34600
2013-06-25,8.590000,8.960000,8.590000,8.750000,8.750000,30300
2013-06-26,8.750000,8.950000,8.570000,8.880000,8.880000,3900
2013-06-27,8.660000,9.000000,8.660000,8.750000,8.750000,900
2013-06-28,8.680000,8.830000,8.680000,8.810000,8.810000,1800
2013-07-01,8.850000,8.850000,8.750000,8.840000,8.840000,8500
2013-07-02,8.850000,8.990000,8.830000,8.910000,8.910000,10600
2013-07-03,8.720000,8.910000,8.720000,8.900000,8.900000,10300
2013-07-05,9.030000,9.030000,8.600000,8.790000,8.790000,7800
2013-07-08,8.990000,8.990000,8.500000,8.760000,8.760000,33900
2013-07-09,8.650000,8.800000,8.630000,8.790000,8.790000,6200
2013-07-10,8.800000,9.100000,8.800000,8.810000,8.810000,4700
2013-07-11,9.110000,9.110000,8.750000,8.860000,8.860000,2900
2013-07-12,8.750000,9.000000,8.580000,8.900000,8.900000,13000
2013-07-15,8.700000,8.950000,8.700000,8.950000,8.950000,600
2013-07-16,8.760000,8.950000,8.760000,8.950000,8.950000,1700
2013-07-17,8.950000,8.950000,8.760000,8.880000,8.880000,3700
2013-07-18,8.990000,9.000000,8.800000,9.000000,9.000000,2000
2013-07-19,8.920000,8.920000,8.800000,8.850000,8.850000,2300
2013-07-22,8.990000,9.000000,8.850000,8.940000,8.940000,8500
2013-07-23,8.990000,8.990000,8.850000,8.990000,8.990000,15500
2013-07-24,8.990000,9.100000,8.950000,9.050000,9.050000,21400
2013-07-25,9.050000,9.390000,9.010000,9.390000,9.390000,28700
2013-07-26,9.380000,11.500000,9.070000,11.200000,11.200000,45900
2013-07-29,11.000000,11.000000,10.050000,10.510000,10.510000,41500
2013-07-30,10.660000,10.820000,10.280000,10.460000,10.460000,9000
2013-07-31,10.600000,10.600000,9.910000,10.290000,10.290000,22800
2013-08-01,10.250000,10.480000,9.870000,10.480000,10.480000,7500
2013-08-02,10.470000,10.500000,10.010000,10.400000,10.400000,4800
2013-08-05,10.700000,11.290000,10.220000,10.500000,10.500000,39700
2013-08-06,10.500000,10.500000,10.100000,10.200000,10.200000,4800
2013-08-07,10.480000,10.480000,10.260000,10.400000,10.400000,7800
2013-08-08,10.490000,10.500000,10.150000,10.150000,10.150000,9300
2013-08-09,10.200000,10.480000,10.140000,10.420000,10.420000,5200
2013-08-12,10.990000,11.000000,10.090000,10.310000,10.310000,26700
2013-08-13,10.520000,10.890000,10.260000,10.450000,10.450000,20000
2013-08-14,10.670000,11.000000,10.450000,10.500000,10.500000,13800
2013-08-15,10.600000,10.750000,10.450000,10.500000,10.500000,11400
2013-08-16,10.650000,10.650000,10.000000,10.060000,10.060000,32200
2013-08-19,10.240000,10.560000,10.150000,10.200000,10.200000,8800
2013-08-20,10.400000,10.500000,10.110000,10.500000,10.500000,8100
2013-08-21,10.550000,11.000000,10.230000,10.800000,10.800000,24900
2013-08-22,11.090000,11.100000,10.360000,10.360000,10.360000,24600
2013-08-23,10.380000,10.750000,10.370000,10.590000,10.590000,7400
2013-08-26,10.550000,10.680000,10.550000,10.670000,10.670000,8900
2013-08-27,10.610000,10.740000,10.200000,10.550000,10.550000,4100
2013-08-28,10.550000,11.000000,10.200000,10.560000,10.560000,30200
2013-08-29,10.620000,12.000000,10.550000,11.950000,11.950000,21300
2013-08-30,11.980000,12.500000,11.280000,12.420000,12.420000,56800
2013-09-03,12.500000,13.460000,12.500000,13.440000,13.440000,25900
2013-09-04,13.730000,14.890000,13.200000,14.490000,14.490000,104500
2013-09-05,14.760000,17.400000,14.530000,17.000000,17.000000,109500
2013-09-06,17.340000,17.340000,16.000000,16.400000,16.400000,170400
2013-09-09,16.250000,16.250000,13.510000,13.800000,13.800000,84800
2013-09-10,13.890000,14.100000,13.060000,13.820000,13.820000,21900
2013-09-11,14.040000,14.040000,13.110000,13.260000,13.260000,10400
2013-09-12,13.740000,13.800000,13.150000,13.760000,13.760000,23000
2013-09-13,13.840000,14.490000,13.770000,13.990000,13.990000,13800
2013-09-16,14.180000,14.400000,13.950000,14.070000,14.070000,50400
2013-09-17,14.190000,14.740000,14.000000,14.590000,14.590000,69500
2013-09-18,14.840000,14.840000,14.500000,14.650000,14.650000,8200
2013-09-19,14.840000,15.280000,14.660000,15.000000,15.000000,19400
2013-09-20,14.920000,15.500000,14.920000,15.200000,15.200000,8800
2013-09-23,15.330000,15.510000,14.750000,14.760000,14.760000,22600
2013-09-24,15.130000,15.450000,15.060000,15.140000,15.140000,14000
2013-09-25,15.260000,15.390000,14.610000,14.650000,14.650000,19200
2013-09-26,14.620000,15.980000,14.620000,15.790000,15.790000,173700
2013-09-27,15.880000,17.950001,15.800000,17.750000,17.750000,125600
2013-09-30,17.780001,17.780001,16.389999,17.340000,17.340000,25200
2013-10-01,17.440001,17.440001,16.600000,17.010000,17.010000,11000
2013-10-02,17.030001,17.780001,16.820000,17.680000,17.680000,18700
2013-10-03,18.000000,22.850000,17.879999,20.879999,20.879999,78300
2013-10-04,20.930000,24.700001,20.350000,24.700001,24.700001,88500
2013-10-07,28.240000,35.000000,27.500000,31.860001,31.860001,1732300
2013-10-08,32.970001,34.110001,27.240000,28.500000,28.500000,607600
2013-10-09,28.309999,28.469999,24.000000,25.799999,25.799999,336300
2013-10-10,25.799999,29.000000,25.299999,28.430000,28.430000,208400
2013-10-11,27.430000,29.000000,26.510000,28.809999,28.809999,197600
2013-10-14,27.950001,29.000000,27.430000,28.000000,28.000000,100000
2013-10-15,28.000000,30.980000,27.219999,28.250000,28.250000,267100
2013-10-16,28.650000,28.650000,27.500000,28.190001,28.190001,93200
2013-10-17,28.260000,28.850000,27.639999,28.790001,28.790001,63200
2013-10-18,28.920000,29.750000,27.559999,29.120001,29.120001,95000
2013-10-21,29.799999,29.799999,28.410000,29.309999,29.309999,92900
2013-10-22,29.190001,29.830000,28.809999,29.790001,29.790001,53900
2013-10-23,29.010000,29.690001,28.559999,29.600000,29.600000,97000
2013-10-24,29.600000,32.200001,29.070000,32.119999,32.119999,147700
2013-10-25,31.750000,32.750000,30.990000,31.959999,31.959999,211900
2013-10-28,31.250000,32.400002,30.750000,31.260000,31.260000,92700
2013-10-29,31.150000,32.750000,30.670000,31.730000,31.730000,36200
2013-10-30,31.730000,31.730000,29.270000,30.680000,30.680000,69100
2013-10-31,30.330000,31.000000,28.000000,30.420000,30.420000,82400
2013-11-01,30.080000,30.719999,28.910000,30.490000,30.490000,24800
2013-11-04,30.190001,30.639999,29.690001,30.100000,30.100000,22300
2013-11-05,30.000000,30.500000,29.110001,29.530001,29.530001,25500
2013-11-06,29.480000,29.959999,28.510000,29.040001,29.040001,56900
2013-11-07,29.200001,29.400000,28.889999,28.920000,28.920000,49500
2013-11-08,28.410000,29.879999,28.000000,29.030001,29.030001,20100
2013-11-11,29.209999,33.470001,28.500000,32.849998,32.849998,87100
2013-11-12,32.570000,36.110001,31.400000,35.849998,35.849998,206900
2013-11-13,34.299999,35.599998,34.009998,35.450001,35.450001,163200
2013-11-14,35.410000,36.000000,34.509998,35.099998,35.099998,149500
2013-11-15,35.299999,35.700001,33.270000,35.669998,35.669998,226600
2013-11-18,35.279999,37.000000,34.500000,35.869999,35.869999,169600
2013-11-19,32.939999,35.889999,32.000000,34.419998,34.419998,166400
2013-11-20,34.400002,35.500000,33.919998,34.430000,34.430000,68000
2013-11-21,34.290001,35.509998,34.090000,34.830002,34.830002,64900
2013-11-22,34.439999,35.240002,34.439999,35.040001,35.040001,83900
2013-11-25,34.849998,34.860001,34.200001,34.520000,34.520000,42000
2013-11-26,34.470001,35.250000,34.139999,35.000000,35.000000,37800
2013-11-27,38.500000,39.470001,36.080002,36.110001,36.110001,421200
2013-11-29,35.880001,37.549999,35.500000,36.490002,36.490002,138000
2013-12-02,36.490002,36.490002,34.610001,34.900002,34.900002,73400
2013-12-03,34.779999,34.900002,32.330002,32.849998,32.849998,61500
2013-12-04,33.049999,33.049999,31.299999,32.240002,32.240002,108900
