Date,Open,High,Low,Close,Adj Close,Volume
2000-04-14,305.401855,336.544800,241.106720,313.438721,313.438721,3600
2000-04-17,307.411072,307.411072,200.922272,242.111328,242.111328,6000
2000-04-18,233.069824,259.189728,208.959152,257.180511,257.180511,3800
2000-04-19,257.180511,269.235840,241.106720,248.138992,248.138992,4400
2000-04-20,249.143616,257.180511,247.134384,250.148224,250.148224,7200
2000-04-24,250.148224,250.148224,210.968384,237.088272,237.088272,2400
2000-04-25,257.180511,257.180511,239.097504,239.097504,239.097504,2000
2000-04-26,240.102112,243.115936,229.051376,243.115936,243.115936,2400
2000-04-27,230.056000,251.152832,229.051376,251.152832,251.152832,3600
2000-04-28,243.115936,247.134384,235.079056,246.129776,246.129776,3200
2000-05-01,246.129776,253.162048,246.129776,249.143616,249.143616,2400
2000-05-02,253.162048,253.162048,247.134384,249.143616,249.143616,800
2000-05-03,247.134384,249.143616,247.134384,249.143616,249.143616,800
2000-05-04,248.138992,249.143616,247.134384,248.138992,248.138992,2600
2000-05-05,248.138992,249.143616,247.134384,249.143616,249.143616,0
2000-05-08,247.134384,253.162048,239.097504,239.097504,239.097504,800
2000-05-09,240.102112,243.115936,239.097504,239.097504,239.097504,800
2000-05-10,239.097504,239.097504,218.000656,230.056000,230.056000,0
2000-05-11,235.079056,239.097504,211.972992,211.972992,211.972992,1200
2000-05-12,211.972992,216.996048,208.959152,209.963776,209.963776,3000
2000-05-15,208.959152,241.106720,204.940704,241.106720,241.106720,15600
2000-05-16,232.065216,269.235840,231.060608,267.226624,267.226624,3800
2000-05-17,267.226624,267.226624,248.138992,248.138992,248.138992,1800
2000-05-18,257.180511,257.180511,241.106720,247.134384,247.134384,1200
2000-05-19,242.111328,243.115936,233.069824,241.106720,241.106720,2600
2000-05-22,237.088272,237.088272,227.042160,233.069824,233.069824,0
2000-05-23,225.032944,241.106720,225.032944,233.069824,233.069824,200
2000-05-24,233.069824,235.079056,221.014496,225.032944,225.032944,600
2000-05-25,237.088272,243.115936,232.065216,239.097504,239.097504,1800
2000-05-26,233.069824,239.097504,229.051376,229.051376,229.051376,600
2000-05-30,229.051376,233.069824,225.032944,225.032944,225.032944,1200
2000-05-31,233.069824,239.097504,221.014496,227.042160,227.042160,800
2000-06-01,239.097504,281.291168,235.079056,267.226624,267.226624,2400
2000-06-02,265.217377,345.586304,265.217377,329.512512,329.512512,4400
2000-06-05,333.530975,333.530975,317.457184,317.457184,317.457184,1200
2000-06-06,317.457184,353.623199,317.457184,321.475616,321.475616,1800
2000-06-07,345.586304,345.586304,310.424896,311.429504,311.429504,600
