Date,Open,High,Low,Close,Adj Close,Volume
1986-11-17,2.166667,2.166667,2.125000,2.125000,1.630455,314400
1986-11-18,2.000000,2.000000,1.916667,1.916667,1.470606,138900
1986-11-19,1.916667,2.000000,1.916667,1.916667,1.470606,141300
1986-11-20,2.000000,2.041667,2.000000,2.000000,1.534545,181500
1986-11-21,2.125000,2.166667,2.125000,2.125000,1.630455,132300
1986-11-24,2.125000,2.166667,2.125000,2.125000,1.630455,172500
1986-11-25,2.125000,2.125000,2.083333,2.083333,1.598485,70500
1986-11-26,2.125000,2.166667,2.125000,2.125000,1.630455,60900
1986-11-28,2.125000,2.166667,2.125000,2.125000,1.630455,6600
1986-12-01,2.125000,2.166667,2.083333,2.083333,1.598485,59400
1986-12-02,2.083333,2.083333,2.041667,2.041667,1.566515,39600
1986-12-03,2.041667,2.083333,2.041667,2.041667,1.566515,17700
1986-12-04,2.041667,2.083333,2.041667,2.041667,1.566515,44100
1986-12-05,2.041667,2.125000,2.041667,2.041667,1.566515,70800
1986-12-08,2.041667,2.125000,2.041667,2.041667,1.566515,13500
1986-12-09,2.083333,2.125000,2.083333,2.083333,1.598485,13800
1986-12-10,2.000000,2.000000,1.916667,1.916667,1.470606,61500
1986-12-11,1.916667,2.000000,1.916667,1.916667,1.470606,6600
1986-12-12,1.916667,1.958333,1.916667,1.916667,1.470606,9600
1986-12-15,1.916667,1.958333,1.916667,1.916667,1.470606,32100
1986-12-16,1.916667,1.958333,1.916667,1.916667,1.470606,45900
1986-12-17,1.958333,2.000000,1.958333,1.958333,1.502576,78600
1986-12-18,2.041667,2.125000,2.041667,2.041667,1.566515,96900
1986-12-19,2.166667,2.250000,2.166667,2.166667,1.662424,89400
1986-12-22,2.166667,2.166667,2.083333,2.083333,1.598485,44700
1986-12-23,2.083333,2.083333,2.000000,2.000000,1.534545,56700
1986-12-24,2.000000,2.125000,2.000000,2.000000,1.534545,1200
1986-12-26,2.000000,2.125000,2.000000,2.000000,1.534545,3900
1986-12-29,2.000000,2.041667,1.916667,1.916667,1.470606,24300
1986-12-30,1.916667,1.958333,1.875000,1.875000,1.438636,30900
1986-12-31,1.875000,1.916667,1.875000,1.875000,1.438636,15000
1987-01-02,null,null,null,null,null,null
1987-01-05,1.916667,1.958333,1.916667,1.916667,1.470606,6600
1987-01-06,1.916667,1.916667,1.833333,1.833333,1.406667,12300
1987-01-07,1.833333,1.916667,1.833333,1.833333,1.406667,6600
1987-01-08,1.833333,1.916667,1.833333,1.833333,1.406667,3000
1987-01-09,1.833333,1.916667,1.791667,1.791667,1.374697,36600
1987-01-12,1.791667,1.916667,1.791667,1.791667,1.374697,1500
1987-01-13,1.833333,1.916667,1.833333,1.833333,1.406667,11400
1987-01-14,1.833333,1.916667,1.833333,1.833333,1.406667,6600
1987-01-15,1.833333,1.916667,1.833333,1.833333,1.406667,12000
1987-01-16,1.833333,1.875000,1.791667,1.791667,1.374697,26400
1987-01-19,1.791667,1.916667,1.791667,1.791667,1.374697,6300
1987-01-20,1.875000,1.916667,1.875000,1.875000,1.438636,14400
1987-01-21,2.000000,2.083333,2.000000,2.000000,1.534545,27000
1987-01-22,2.125000,2.250000,2.125000,2.125000,1.630455,83400
