Date,Open,High,Low,Close,Adj Close,Volume
2017-03-17,0.282100,0.282100,0.282100,0.282100,0.282100,66476
2017-03-18,0.255700,0.255700,0.255700,0.255700,0.255700,23541
2017-03-19,0.269100,0.287400,0.269100,0.284100,0.284100,15054
2017-03-20,0.291000,0.291000,0.291000,0.291000,0.291000,27520
2017-03-21,0.311500,0.311500,0.311500,0.311500,0.311500,11960
2017-03-22,0.290200,0.290200,0.290200,0.290200,0.290200,0
2017-03-23,0.287500,0.287500,0.287500,0.287500,0.287500,0
2017-03-24,0.261000,0.261000,0.261000,0.261000,0.261000,0
2017-03-25,0.268400,0.268400,0.268400,0.268400,0.268400,0
2017-03-26,0.269300,0.269300,0.269300,0.269300,0.269300,0
2017-03-26,0.290300,0.290300,0.290300,0.290300,0.290300,0
2017-03-27,0.290100,0.290100,0.290100,0.290100,0.290100,0
2017-03-28,0.289400,0.289400,0.289400,0.289400,0.289400,0
2017-03-29,0.288300,0.288300,0.288300,0.288300,0.288300,0
2017-03-30,0.299800,0.299800,0.299800,0.299800,0.299800,0
2017-03-31,0.301700,0.301700,0.301700,0.301700,0.301700,0
2017-04-01,0.304900,0.304900,0.304900,0.304900,0.304900,0
2017-04-02,0.318800,0.318800,0.318800,0.318800,0.318800,0
2017-04-03,0.317200,0.317200,0.317200,0.317200,0.317200,0
2017-04-04,0.313900,0.313900,0.313900,0.313900,0.313900,0
2017-04-05,0.330200,0.330200,0.330200,0.330200,0.330200,0
2017-04-06,0.330700,0.330700,0.330700,0.330700,0.330700,0
2017-04-07,0.328000,0.328000,0.328000,0.328000,0.328000,0
2017-04-08,0.334600,0.334600,0.334600,0.334600,0.334600,0
2017-04-09,0.335200,0.335200,0.335200,0.335200,0.335200,0
2017-04-10,0.339100,0.339100,0.339100,0.339100,0.339100,0
2017-04-11,0.336800,0.336800,0.336800,0.336800,0.336800,0
2017-04-12,0.326700,0.326700,0.326700,0.326700,0.326700,0
2017-04-13,0.327100,0.327100,0.327100,0.327100,0.327100,0
2017-04-14,0.327000,0.327000,0.327000,0.327000,0.327000,0
2017-04-15,0.326900,0.326900,0.326900,0.326900,0.326900,0
2017-04-16,0.331700,0.331700,0.331700,0.331700,0.331700,0
2017-04-17,0.335100,0.335100,0.335100,0.335100,0.335100,0
2017-04-18,0.337600,0.337600,0.337600,0.337600,0.337600,0
2017-04-19,0.343900,0.343900,0.343900,0.343900,0.343900,0
