Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,16.760000,17.500000,15.900000,15.900000,15.900000,25800
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,null,null,null,null,null,null
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,null,null,null,null,null,null
2017-11-17,16.950001,18.530001,14.800000,15.150000,15.150000,10327700
2017-11-20,15.550000,15.650000,14.480000,14.850000,14.850000,2251700
2017-11-21,14.840000,16.100000,14.500000,15.800000,15.800000,1978900
2017-11-22,16.490000,17.750000,15.800000,17.350000,17.350000,2618000
2017-11-24,18.260000,19.490000,17.760000,18.620001,18.620001,1828800
2017-11-27,19.250000,23.910000,19.010000,23.080000,23.080000,2900600
2017-11-28,24.830000,24.889999,19.969999,23.049999,23.049999,3565600
2017-11-29,22.549999,22.900000,20.590000,22.260000,22.260000,2044200
2017-11-30,22.049999,22.250000,20.010000,20.040001,20.040001,2171700
2017-12-01,20.000000,24.010000,19.069000,23.600000,23.600000,3515300
2017-12-04,22.750000,24.747999,21.180000,24.040001,24.040001,1864900
2017-12-05,23.900000,23.980000,22.700001,22.969999,22.969999,839300
2017-12-06,22.889999,24.049999,22.070000,24.040001,24.040001,677900
2017-12-07,23.780001,25.377001,22.950001,24.340000,24.340000,902100
2017-12-08,24.240000,24.740000,23.299999,23.600000,23.600000,442100
2017-12-11,23.350000,24.389999,23.120001,23.980000,23.980000,601200
2017-12-12,23.690001,24.730000,23.500000,23.540001,23.540001,615000
2017-12-13,23.520000,24.229000,23.520000,23.920000,23.920000,425800
2017-12-14,23.879999,24.188999,23.530001,23.930000,23.930000,335300
2017-12-15,23.980000,24.000000,23.027000,23.340000,23.340000,482500
2017-12-18,23.200001,25.299999,23.170000,23.850000,23.850000,712000
2017-12-19,24.000000,25.980000,22.510000,24.760000,24.760000,1726500
2017-12-20,21.500000,23.250000,20.500000,22.340000,22.340000,3098600
2017-12-21,22.600000,23.900000,22.590000,23.190001,23.190001,1185200
2017-12-22,23.400000,24.700001,23.209999,24.620001,24.620001,1038000
2017-12-26,24.290001,30.000000,24.048000,29.139999,29.139999,2630800
2017-12-27,28.900000,30.070000,28.052000,28.700001,28.700001,1295800
2017-12-28,28.750000,29.700001,26.240000,26.930000,26.930000,1341500
