Date,Open,High,Low,Close,Adj Close,Volume
2017-11-29,317.299988,318.000000,301.230011,307.540009,307.540009,8767400
2017-11-30,308.559998,310.700012,304.540009,308.850006,308.850006,4351600
2017-12-01,305.440002,310.320007,305.049988,306.529999,306.529999,4292900
2017-12-04,306.500000,308.269989,300.609985,305.200012,305.200012,5835100
2017-12-05,302.000000,308.000000,301.000000,303.700012,303.700012,4646500
2017-12-06,300.100006,313.390015,300.000000,313.260010,313.260010,7195300
2017-12-07,312.000000,318.630005,311.049988,311.239990,311.239990,4780600
2017-12-08,314.600006,316.980011,311.260010,315.130005,315.130005,3468500
2017-12-11,314.630005,329.010010,313.750000,328.910004,328.910004,7938000
2017-12-12,330.450012,341.440002,330.029999,341.029999,341.029999,8733200
2017-12-13,340.929993,344.220001,336.500000,339.029999,339.029999,6221500
2017-12-14,341.010010,347.440002,336.899994,337.890015,337.890015,5799900
2017-12-15,342.040009,343.899994,335.760010,343.450012,343.450012,6933200
2017-12-18,344.899994,346.730011,337.579987,338.869995,338.869995,5476200
2017-12-19,340.260010,341.489990,330.299988,331.100006,331.100006,6825000
2017-12-20,332.690002,333.100006,325.040009,328.980011,328.980011,5953800
2017-12-21,329.589996,333.739990,327.209991,331.660004,331.660004,4385200
2017-12-22,329.510010,330.920013,324.820007,325.200012,325.200012,4215800
2017-12-26,323.829987,323.940002,316.579987,317.290009,317.290009,4378400
2017-12-27,316.000000,317.679993,310.750000,311.640015,311.640015,4712100
2017-12-28,311.750000,315.820007,309.540009,315.359985,315.359985,4299600
