Date,Open,High,Low,Close,Adj Close,Volume
1996-11-01,6.750000,7.000000,6.625000,6.750000,6.750000,3783600
1996-11-04,7.000000,7.000000,6.750000,6.750000,6.750000,529600
1996-11-05,6.750000,7.000000,6.750000,6.750000,6.750000,358000
1996-11-06,7.000000,7.000000,6.750000,6.750000,6.750000,182200
1996-11-07,6.750000,7.000000,6.750000,6.750000,6.750000,158800
1996-11-08,6.750000,7.000000,6.750000,6.750000,6.750000,120400
1996-11-11,6.750000,7.000000,6.750000,6.750000,6.750000,18600
1996-11-12,6.750000,7.000000,6.750000,6.750000,6.750000,120200
1996-11-13,6.750000,7.000000,6.750000,6.750000,6.750000,416400
1996-11-14,6.750000,7.000000,6.750000,6.812500,6.812500,116000
1996-11-15,7.000000,7.000000,6.750000,6.750000,6.750000,230800
1996-11-18,6.750000,7.125000,6.750000,6.812500,6.812500,166000
1996-11-19,6.750000,7.125000,6.750000,6.750000,6.750000,225000
1996-11-20,6.750000,7.125000,6.750000,6.812500,6.812500,32200
1996-11-21,6.750000,7.125000,6.750000,6.750000,6.750000,37600
1996-11-22,6.750000,7.062500,6.750000,6.750000,6.750000,335200
1996-11-25,6.750000,6.750000,6.750000,6.750000,6.750000,101200
1996-11-26,6.750000,6.937500,6.750000,6.750000,6.750000,275400
1996-11-27,6.750000,7.062500,6.750000,6.750000,6.750000,22800
1996-11-29,7.062500,7.062500,6.750000,6.750000,6.750000,4200
1996-12-02,6.750000,7.250000,6.750000,6.812500,6.812500,52800
1996-12-03,6.906250,7.250000,6.812500,7.000000,7.000000,56400
1996-12-04,6.812500,7.250000,6.812500,6.812500,6.812500,22400
1996-12-05,6.812500,7.250000,6.812500,6.875000,6.875000,17200
1996-12-06,6.812500,7.125000,6.812500,6.875000,6.875000,46000
1996-12-09,6.875000,7.125000,6.812500,6.812500,6.812500,88800
1996-12-10,7.000000,7.250000,6.875000,6.875000,6.875000,25200
1996-12-11,6.812500,7.250000,6.812500,7.125000,7.125000,43600
1996-12-12,6.812500,7.000000,6.812500,6.812500,6.812500,17400
1996-12-13,7.250000,7.250000,6.812500,6.875000,6.875000,9600
1996-12-16,7.187500,7.187500,6.875000,7.000000,7.000000,55000
1996-12-17,6.875000,7.250000,6.875000,6.875000,6.875000,5600
1996-12-18,6.875000,7.250000,6.875000,6.875000,6.875000,8200
1996-12-19,6.875000,7.250000,6.875000,7.000000,7.000000,57600
1996-12-20,7.250000,7.625000,7.000000,7.500000,7.500000,58200
1996-12-23,7.500000,7.625000,7.375000,7.375000,7.375000,12200
1996-12-24,7.437500,7.437500,7.375000,7.375000,7.375000,1200
1996-12-26,7.625000,7.625000,7.250000,7.437500,7.437500,3000
1996-12-27,7.625000,7.625000,7.125000,7.125000,7.125000,4200
1996-12-30,7.250000,7.750000,7.250000,7.750000,7.750000,31600
1996-12-31,8.000000,8.750000,7.750000,8.500000,8.500000,76000
1997-01-02,8.750000,8.750000,8.375000,8.500000,8.500000,77800
1997-01-03,8.375000,8.437500,8.250000,8.250000,8.250000,20200
1997-01-06,8.250000,8.375000,8.000000,8.000000,8.000000,44600
1997-01-07,8.000000,8.125000,7.687500,7.750000,7.750000,12400
1997-01-08,7.625000,8.000000,7.625000,8.000000,8.000000,33000
1997-01-09,8.000000,8.375000,7.687500,8.125000,8.125000,37200
1997-01-10,8.000000,8.375000,8.000000,8.000000,8.000000,20600
1997-01-13,8.000000,8.000000,8.000000,8.000000,8.000000,2200
1997-01-14,8.000000,8.000000,7.500000,7.500000,7.500000,159400
1997-01-15,7.000000,7.500000,7.000000,7.000000,7.000000,293400
1997-01-16,6.875000,7.062500,6.250000,6.625000,6.625000,205600
1997-01-17,6.625000,7.000000,6.500000,6.875000,6.875000,122000
1997-01-20,7.125000,7.125000,6.875000,6.937500,6.937500,19000
1997-01-21,7.250000,7.250000,6.875000,6.875000,6.875000,5800
1997-01-22,6.875000,7.000000,6.875000,6.875000,6.875000,17400
1997-01-23,6.937500,7.250000,6.718750,7.250000,7.250000,82200
1997-01-24,6.875000,7.250000,6.750000,6.937500,6.937500,73400
1997-01-27,6.875000,7.062500,6.625000,7.062500,7.062500,47800
1997-01-28,7.000000,7.000000,6.625000,6.625000,6.625000,87600
1997-01-29,6.750000,7.250000,6.750000,7.250000,7.250000,7400
1997-01-30,6.750000,7.250000,6.750000,6.937500,6.937500,12200
1997-01-31,6.750000,7.187500,6.750000,6.875000,6.875000,146200
1997-02-03,7.375000,7.375000,6.875000,6.875000,6.875000,246600
1997-02-04,6.875000,7.312500,6.875000,6.875000,6.875000,46200
1997-02-05,7.375000,7.562500,7.000000,7.375000,7.375000,7400
1997-02-06,7.250000,7.250000,7.250000,7.250000,7.250000,600
1997-02-07,7.375000,7.500000,7.375000,7.375000,7.375000,1200
1997-02-10,7.875000,8.000000,7.500000,7.750000,7.750000,11000
1997-02-11,7.750000,8.125000,7.750000,7.875000,7.875000,33200
1997-02-12,7.750000,7.750000,7.750000,7.750000,7.750000,14600
1997-02-13,7.750000,7.750000,7.750000,7.750000,7.750000,3400
1997-02-14,7.750000,8.125000,7.250000,7.250000,7.250000,17800
1997-02-18,7.250000,7.500000,7.187500,7.250000,7.250000,135800
1997-02-19,7.250000,7.750000,7.250000,7.750000,7.750000,1400
1997-02-20,7.375000,7.375000,7.250000,7.250000,7.250000,11200
1997-02-21,7.250000,7.500000,7.250000,7.250000,7.250000,41000
1997-02-24,7.375000,7.375000,6.625000,6.750000,6.750000,82400
1997-02-25,6.812500,7.250000,6.812500,7.250000,7.250000,3800
1997-02-26,7.250000,7.250000,6.812500,7.000000,7.000000,5200
1997-02-27,7.250000,7.250000,6.812500,6.812500,6.812500,2200
1997-02-28,6.812500,7.250000,6.812500,7.250000,7.250000,3000
1997-03-03,7.312500,7.312500,6.875000,7.250000,7.250000,27000
1997-03-04,7.375000,7.750000,7.125000,7.500000,7.500000,37200
1997-03-05,7.250000,7.750000,7.250000,7.750000,7.750000,24600
1997-03-06,7.250000,7.562500,7.250000,7.562500,7.562500,40600
1997-03-07,7.750000,8.312500,7.750000,8.000000,8.000000,37800
1997-03-10,8.250000,8.500000,8.000000,8.000000,8.000000,39800
1997-03-11,8.000000,8.375000,8.000000,8.125000,8.125000,37000
1997-03-12,8.000000,8.125000,7.875000,8.000000,8.000000,115600
1997-03-13,7.875000,8.250000,7.875000,8.000000,8.000000,12000
1997-03-14,8.125000,8.250000,8.125000,8.250000,8.250000,7600
1997-03-17,8.125000,8.125000,7.875000,8.062500,8.062500,58000
1997-03-18,8.000000,8.062500,7.875000,7.875000,7.875000,3200
1997-03-19,7.875000,7.875000,7.875000,7.875000,7.875000,5600
1997-03-20,7.937500,8.062500,7.875000,8.062500,8.062500,163400
1997-03-21,7.875000,7.875000,7.875000,7.875000,7.875000,3600
1997-03-24,7.875000,7.937500,7.875000,7.875000,7.875000,21800
1997-03-25,8.000000,8.000000,7.875000,7.875000,7.875000,2800
1997-03-26,8.062500,8.062500,7.875000,7.875000,7.875000,6400
1997-03-27,7.875000,7.875000,7.875000,7.875000,7.875000,0
1997-03-31,7.875000,8.000000,7.875000,7.875000,7.875000,22400
1997-04-01,8.250000,8.250000,7.875000,7.937500,7.937500,63000
1997-04-02,8.000000,8.250000,7.875000,8.250000,8.250000,13600
1997-04-03,7.875000,8.062500,7.875000,7.875000,7.875000,20600
1997-04-04,7.875000,7.875000,7.875000,7.875000,7.875000,1400
1997-04-07,8.250000,8.250000,7.875000,7.875000,7.875000,5800
1997-04-08,8.250000,8.250000,7.875000,7.875000,7.875000,48000
1997-04-09,7.875000,7.875000,7.500000,7.687500,7.687500,213600
1997-04-10,7.500000,7.500000,6.500000,6.875000,6.875000,864200
1997-04-11,6.875000,7.125000,6.875000,6.937500,6.937500,67800
1997-04-14,6.937500,6.937500,6.937500,6.937500,6.937500,0
1997-04-15,6.875000,7.125000,6.875000,7.125000,7.125000,3000
1997-04-16,7.000000,7.125000,7.000000,7.125000,7.125000,7400
1997-04-17,7.187500,7.375000,7.000000,7.375000,7.375000,12400
1997-04-18,7.125000,7.375000,7.125000,7.375000,7.375000,13600
1997-04-21,7.625000,7.625000,7.500000,7.500000,7.500000,20000
1997-04-22,7.500000,8.000000,7.500000,8.000000,8.000000,800
1997-04-23,7.750000,8.312500,7.500000,8.250000,8.250000,26800
1997-04-24,7.875000,8.125000,7.875000,8.125000,8.125000,41200
1997-04-25,8.062500,8.125000,8.000000,8.000000,8.000000,25600
1997-04-28,8.000000,8.125000,7.750000,7.750000,7.750000,20800
1997-04-29,7.750000,7.750000,7.750000,7.750000,7.750000,0
1997-04-30,7.750000,7.750000,7.750000,7.750000,7.750000,600
1997-05-01,8.000000,8.250000,7.875000,7.875000,7.875000,81200
1997-05-02,8.062500,8.062500,7.875000,7.875000,7.875000,17600
1997-05-05,7.875000,8.062500,7.875000,7.875000,7.875000,39600
1997-05-06,7.875000,8.250000,7.875000,8.250000,8.250000,46800
1997-05-07,7.875000,8.250000,7.875000,8.125000,8.125000,61200
1997-05-08,8.250000,8.250000,7.875000,7.875000,7.875000,21200
1997-05-09,7.750000,7.875000,7.500000,7.875000,7.875000,115000
1997-05-12,8.000000,8.000000,8.000000,8.000000,8.000000,6200
1997-05-13,8.000000,8.000000,7.625000,7.625000,7.625000,8200
1997-05-14,7.750000,8.000000,7.500000,7.500000,7.500000,13800
1997-05-15,8.000000,8.000000,7.500000,8.000000,8.000000,18400
1997-05-16,7.500000,7.500000,7.500000,7.500000,7.500000,600
1997-05-19,8.000000,8.000000,7.500000,8.000000,8.000000,3600
1997-05-20,7.500000,7.750000,7.500000,7.750000,7.750000,800
1997-05-21,7.500000,8.000000,7.500000,8.000000,8.000000,8600
1997-05-22,7.500000,7.625000,7.500000,7.625000,7.625000,19800
1997-05-23,7.750000,8.125000,7.500000,8.062500,8.062500,69800
1997-05-27,7.875000,7.875000,7.875000,7.875000,7.875000,200
1997-05-28,8.250000,8.250000,8.250000,8.250000,8.250000,200
1997-05-29,8.062500,8.250000,7.875000,8.250000,8.250000,3000
