Date,Open,High,Low,Close,Adj Close,Volume
2016-02-08,0.000015,0.000019,0.000015,0.000015,0.000015,1
2016-02-09,0.000015,0.000023,0.000015,0.000019,0.000019,891
2016-02-10,0.000019,0.000034,0.000019,0.000027,0.000027,1425
2016-02-11,0.000027,0.000034,0.000023,0.000034,0.000034,904
2016-02-12,0.000035,0.000035,0.000023,0.000031,0.000031,337
2016-02-13,0.000031,0.000047,0.000031,0.000039,0.000039,1971
2016-02-14,0.000041,0.000049,0.000032,0.000037,0.000037,83
2016-02-15,0.000036,0.000040,0.000024,0.000028,0.000028,377
2016-02-16,0.000028,0.000041,0.000028,0.000037,0.000037,358
2016-02-17,0.000067,0.000067,0.000046,0.000050,0.000050,929
2016-02-18,0.000051,0.000110,0.000046,0.000084,0.000084,85850
2016-02-19,0.000084,0.000118,0.000067,0.000097,0.000097,56107
2016-02-20,0.000101,0.000101,0.000066,0.000075,0.000075,21725
2016-02-21,0.000074,0.000088,0.000061,0.000070,0.000070,13934
2016-02-22,0.000070,0.000074,0.000061,0.000066,0.000066,11149
2016-02-23,0.000063,0.000071,0.000055,0.000059,0.000059,8602
2016-02-24,0.000059,0.000063,0.000047,0.000063,0.000063,11527
2016-02-25,0.000064,0.000064,0.000047,0.000051,0.000051,4313
2016-02-26,0.000051,0.000056,0.000047,0.000051,0.000051,7052
2016-02-27,0.000052,0.000056,0.000043,0.000047,0.000047,7480
2016-02-28,0.000048,0.000056,0.000043,0.000052,0.000052,8754
2016-02-29,0.000052,0.000057,0.000048,0.000048,0.000048,6289
2016-03-01,0.000048,0.000052,0.000039,0.000039,0.000039,4219
2016-03-02,0.000038,0.000047,0.000034,0.000038,0.000038,5224
2016-03-03,0.000038,0.000046,0.000038,0.000038,0.000038,4767
2016-03-04,0.000037,0.000045,0.000037,0.000041,0.000041,4425
2016-03-05,0.000040,0.000044,0.000036,0.000040,0.000040,6237
2016-03-06,0.000041,0.000045,0.000041,0.000041,0.000041,3731
2016-03-07,0.000041,0.000062,0.000041,0.000058,0.000058,15827
2016-03-08,0.000058,0.000066,0.000049,0.000066,0.000066,20899
2016-03-09,0.000066,0.000116,0.000062,0.000095,0.000095,65475
2016-03-10,0.000096,0.000137,0.000079,0.000121,0.000121,59351
2016-03-11,0.000122,0.000226,0.000122,0.000197,0.000197,189713
2016-03-12,0.000193,0.000201,0.000168,0.000177,0.000177,47663
2016-03-13,0.000177,0.000206,0.000173,0.000190,0.000190,38539
2016-03-14,0.000191,0.000207,0.000186,0.000191,0.000191,37140
2016-03-15,0.000191,0.000195,0.000170,0.000183,0.000183,32980
2016-03-16,0.000183,0.000187,0.000133,0.000158,0.000158,56843
2016-03-17,0.000159,0.000163,0.000096,0.000125,0.000125,45305
2016-03-18,0.000122,0.000139,0.000110,0.000139,0.000139,19398
2016-03-19,0.000139,0.000139,0.000119,0.000123,0.000123,8067
2016-03-20,0.000123,0.000148,0.000119,0.000136,0.000136,16159
2016-03-21,0.000136,0.000144,0.000119,0.000127,0.000127,19863
2016-03-22,0.000129,0.000137,0.000112,0.000125,0.000125,10361
2016-03-23,0.000125,0.000125,0.000108,0.000117,0.000117,13518
2016-03-24,0.000116,0.000116,0.000087,0.000095,0.000095,18390
2016-03-25,0.000096,0.000162,0.000075,0.000137,0.000137,115861
2016-03-26,0.000137,0.000142,0.000112,0.000121,0.000121,24017
2016-03-27,0.000123,0.000140,0.000123,0.000127,0.000127,10011
2016-03-27,0.000127,0.000173,0.000101,0.000131,0.000131,57731
2016-03-28,0.000129,0.000141,0.000120,0.000129,0.000129,9189
2016-03-29,0.000128,0.000132,0.000115,0.000124,0.000124,13851
2016-03-30,0.000125,0.000137,0.000108,0.000112,0.000112,17984
2016-03-31,0.000112,0.000125,0.000108,0.000116,0.000116,10054
2016-04-01,0.000117,0.000151,0.000113,0.000130,0.000130,32187
2016-04-02,0.000130,0.000130,0.000122,0.000126,0.000126,1609
2016-04-03,0.000113,0.000117,0.000105,0.000113,0.000113,13
2016-04-04,0.000114,0.000152,0.000106,0.000114,0.000114,512
2016-04-05,0.000114,0.000126,0.000101,0.000126,0.000126,277
2016-04-06,0.000126,0.000223,0.000126,0.000168,0.000168,178
2016-04-07,0.000167,0.000213,0.000167,0.000171,0.000171,44
2016-04-08,0.000171,0.000226,0.000171,0.000217,0.000217,18
2016-04-09,0.000172,0.000210,0.000172,0.000210,0.000210,7
2016-04-10,0.000177,0.000202,0.000110,0.000198,0.000198,200
2016-04-11,0.000127,0.000127,0.000085,0.000106,0.000106,26478
2016-04-12,0.000106,0.000106,0.000068,0.000085,0.000085,20719
2016-04-13,0.000085,0.000085,0.000068,0.000072,0.000072,14139
2016-04-14,0.000073,0.000081,0.000073,0.000077,0.000077,6995
2016-04-15,0.000077,0.000086,0.000069,0.000069,0.000069,13999
2016-04-16,0.000068,0.000081,0.000068,0.000077,0.000077,9440
2016-04-17,0.000077,0.000077,0.000064,0.000068,0.000068,14627
2016-04-18,0.000070,0.000074,0.000061,0.000065,0.000065,7905
2016-04-19,0.000066,0.000066,0.000053,0.000057,0.000057,10578
2016-04-20,0.000058,0.000063,0.000036,0.000054,0.000054,24408
2016-04-21,0.000053,0.000071,0.000053,0.000067,0.000067,6389
2016-04-22,0.000068,0.000072,0.000059,0.000059,0.000059,2137
2016-04-23,0.000059,0.000069,0.000059,0.000059,0.000059,1944
2016-04-24,0.000060,0.000065,0.000055,0.000055,0.000055,3298
2016-04-25,0.000056,0.000061,0.000047,0.000056,0.000056,4278
2016-04-26,0.000054,0.000058,0.000049,0.000054,0.000054,2795
2016-04-27,0.000054,0.000058,0.000049,0.000054,0.000054,4568
2016-04-28,0.000055,0.000059,0.000050,0.000050,0.000050,3153
2016-04-29,0.000049,0.000054,0.000049,0.000049,0.000049,1676
2016-04-30,0.000050,0.000054,0.000050,0.000050,0.000050,1552
2016-05-01,0.000049,0.000058,0.000049,0.000049,0.000049,3130
2016-05-02,0.000050,0.000059,0.000050,0.000050,0.000050,1083
2016-05-03,0.000049,0.000053,0.000045,0.000045,0.000045,4282
2016-05-04,0.000045,0.000054,0.000040,0.000049,0.000049,7603
2016-05-05,0.000051,0.000055,0.000041,0.000046,0.000046,4793
2016-05-06,0.000046,0.000055,0.000046,0.000050,0.000050,3587
2016-05-07,0.000050,0.000055,0.000046,0.000046,0.000046,3706
2016-05-08,0.000046,0.000051,0.000041,0.000046,0.000046,5420
2016-05-09,0.000045,0.000049,0.000040,0.000040,0.000040,4600
2016-05-10,0.000041,0.000045,0.000036,0.000036,0.000036,7073
2016-05-11,0.000036,0.000045,0.000036,0.000041,0.000041,2370
2016-05-12,0.000041,0.000046,0.000036,0.000041,0.000041,5459
2016-05-13,0.000041,0.000041,0.000032,0.000037,0.000037,2700
2016-05-14,0.000037,0.000041,0.000037,0.000037,0.000037,2122
2016-05-15,0.000036,0.000041,0.000027,0.000036,0.000036,8198
2016-05-16,0.000036,0.000036,0.000027,0.000027,0.000027,2606
2016-05-17,0.000027,0.000036,0.000027,0.000032,0.000032,3155
2016-05-18,0.000031,0.000035,0.000027,0.000031,0.000031,2466
2016-05-19,0.000031,0.000035,0.000027,0.000031,0.000031,2479
2016-05-20,0.000031,0.000035,0.000031,0.000031,0.000031,1539
2016-05-21,0.000031,0.000035,0.000031,0.000031,0.000031,599
2016-05-22,0.000031,0.000036,0.000031,0.000031,0.000031,2626
